"Status","Year","Age","Parent_department","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Black","[c]","[c]","[c]","[c]"
