"Status","Year","Age","Sexual_orientation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Heterosexual / straight","Asian","60","60","22730","21010"
"In post","2021","16-19","Heterosexual / straight","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","White","620","600","21490","21010"
"In post","2021","16-19","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","White","50","50","[c]","[c]"
"In post","2021","16-19","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","White","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","490","470","20500","20140"
"In post","2021","16-19","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Asian","5160","5050","29140","27570"
"In post","2021","20-29","Heterosexual / straight","Black","1950","1920","29930","29290"
"In post","2021","20-29","Heterosexual / straight","Chinese","190","190","33560","30610"
"In post","2021","20-29","Heterosexual / straight","Mixed","1700","1670","30620","28650"
"In post","2021","20-29","Heterosexual / straight","Other ethnicity","360","350","31720","30650"
"In post","2021","20-29","Heterosexual / straight","Undeclared","280","270","29470","27570"
"In post","2021","20-29","Heterosexual / straight","Unknown","510","500","29530","27570"
"In post","2021","20-29","Heterosexual / straight","White","36960","36440","29050","27500"
"In post","2021","20-29","LGBO","Asian","140","140","31430","29570"
"In post","2021","20-29","LGBO","Black","90","90","31590","31060"
