"Status","Year","Age","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Operational Delivery","210","190","21460","21430"
"In post","2021","16-19","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Policy","30","30","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Science and Engineering","70","70","18230","17780"
"In post","2021","16-19","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Tax","50","50","20450","20140"
"In post","2021","16-19","Heterosexual / straight","Unknown","220","210","22470","21010"
"In post","2021","16-19","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Human Resources","[c]","[c]","[c]","[c]"
