"Status","Year","Disability","Region_ITL2","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","130","120","23430","22390"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","EO","200","190","29140","29290"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","100","90","38770","37640"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","50","50","26500","24020"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","330","320","25160","22920"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","300","270","29190","27920"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","60","50","58730","56540"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","230","220","37530","35700"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","80","80","29760","30210"
"In post","2021","Declared disabled","Cheshire","AA/AO","130","110","21950","21010"
"In post","2021","Declared disabled","Cheshire","EO","160","150","28140","27570"
"In post","2021","Declared disabled","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","SEO/HEO","60","50","36870","36740"
"In post","2021","Declared disabled","Cheshire","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","AA/AO","90","80","20810","21010"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","EO","80","70","27480","27570"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","AA/AO","100","90","21100","21050"
"In post","2021","Declared disabled","Cumbria","EO","70","60","26450","27570"
"In post","2021","Declared disabled","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
