"Status","Year","Disability","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","No function","40","40","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","80","80","30110","27570"
"In post","2021","Declared disabled","Angus and Dundee City","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","No function","40","30","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Unknown","220","200","23960","21010"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Unknown","80","70","31180","31060"
