"Status","Year","Ethnicity","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","Heterosexual / straight","750","700","42240","40800"
"In post","2021","Asian","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","120","100","43900","51010"
"In post","2021","Asian","Cabinet Office","Heterosexual / straight","420","410","45750","40600"
"In post","2021","Asian","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Heterosexual / straight","100","90","45380","36990"
"In post","2021","Asian","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","580","560","40160","36120"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Undeclared","30","30","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","80","80","30630","27680"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Heterosexual / straight","110","110","46790","42020"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Heterosexual / straight","600","580","39350","36500"
"In post","2021","Asian","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Unknown","70","70","43040","40300"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Heterosexual / straight","300","300","37110","33120"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Heterosexual / straight","190","190","41790","38300"
"In post","2021","Asian","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Heterosexual / straight","450","440","40890","35430"
"In post","2021","Asian","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Undeclared","40","30","[c]","[c]"
"In post","2021","Asian","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Heterosexual / straight","5480","5050","28260","27570"
"In post","2021","Asian","Department for Work and Pensions","LGBO","120","110","28060","27570"
"In post","2021","Asian","Department for Work and Pensions","Undeclared","410","360","26840","27570"
"In post","2021","Asian","Department for Work and Pensions","Unknown","1380","1150","26830","27570"
"In post","2021","Asian","Department of Health and Social Care","Heterosexual / straight","880","830","40730","33090"
"In post","2021","Asian","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Undeclared","80","70","41600","38890"
"In post","2021","Asian","Department of Health and Social Care","Unknown","170","170","50590","41020"
"In post","2021","Asian","ESTYN","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Heterosexual / straight","420","400","42260","36900"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Heterosexual / straight","150","140","31390","27130"
"In post","2021","Asian","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Unknown","40","40","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Heterosexual / straight","3240","3060","31510","29570"
"In post","2021","Asian","HM Revenue and Customs","LGBO","110","100","28240","25560"
"In post","2021","Asian","HM Revenue and Customs","Undeclared","220","200","28850","25630"
"In post","2021","Asian","HM Revenue and Customs","Unknown","820","740","29650","25630"
"In post","2021","Asian","HM Treasury","Heterosexual / straight","220","220","44600","40890"
"In post","2021","Asian","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Home Office","Heterosexual / straight","4070","3780","31470","28810"
"In post","2021","Asian","Home Office","LGBO","40","40","[c]","[c]"
