"Status","Year","Ethnicity","Region_ITL2","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","East of England","540","500","30790","29290"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","600","560","30660","28420"
"In post","2021","Asian","Cheshire","North West (England)","60","50","28950","27570"
"In post","2021","Asian","Cornwall and Isles of Scilly","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","East Midlands (England)","650","590","29880","27570"
"In post","2021","Asian","Devon","South West (England)","50","50","35110","31860"
"In post","2021","Asian","Dorset and Somerset","South West (England)","30","30","[c]","[c]"
"In post","2021","Asian","East Anglia","East of England","370","320","27160","23130"
"In post","2021","Asian","East Wales","Wales","330","320","30400","25560"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","Scotland","190","180","32310","27570"
"In post","2021","Asian","Essex","East of England","210","200","34760","29290"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","690","660","34650","31650"
"In post","2021","Asian","Greater Manchester","North West (England)","1370","1280","28870","27570"
"In post","2021","Asian","Hampshire and Isle of Wight","South East (England)","310","280","30370","27390"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","190","170","26390","25400"
"In post","2021","Asian","Highlands and Islands","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inner London - East","London","2520","2360","37070","31880"
"In post","2021","Asian","Inner London - West","London","6000","5800","41320","36240"
"In post","2021","Asian","Kent","South East (England)","160","150","29470","29290"
"In post","2021","Asian","Lancashire","North West (England)","970","860","24840","21010"
"In post","2021","Asian","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","1030","920","25190","22030"
"In post","2021","Asian","Lincolnshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Merseyside","North West (England)","170","150","33690","26370"
"In post","2021","Asian","North Eastern Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Yorkshire","Yorkshire and The Humber","70","70","32440","29030"
"In post","2021","Asian","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northumberland and Tyne and Wear","North East (England)","280","260","28260","25440"
"In post","2021","Asian","Outer London - East and North East","London","700","640","29620","31060"
"In post","2021","Asian","Outer London - South","London","1710","1590","34070","29870"
"In post","2021","Asian","Outer London - West and North West","London","2630","2420","31160","29450"
"In post","2021","Asian","Overseas","Overseas","150","150","46340","41410"
"In post","2021","Asian","Shropshire and Staffordshire","West Midlands (England)","300","290","32060","27570"
"In post","2021","Asian","South Yorkshire","Yorkshire and The Humber","410","380","28230","25000"
"In post","2021","Asian","Southern Scotland","Scotland","50","50","34070","27570"
"In post","2021","Asian","Surrey, East and West Sussex","South East (England)","310","290","29650","27850"
"In post","2021","Asian","Tees Valley and Durham","North East (England)","110","100","26720","22850"
"In post","2021","Asian","Unknown","Unknown","170","150","29630","27570"
"In post","2021","Asian","West Central Scotland","Scotland","240","210","28990","25560"
"In post","2021","Asian","West Midlands","West Midlands (England)","3580","3330","27550","25800"
"In post","2021","Asian","West Wales and The Valleys","Wales","90","90","29270","22160"
"In post","2021","Asian","West Yorkshire","Yorkshire and The Humber","1800","1650","27800","26620"
"In post","2021","Black","Bedfordshire and Hertfordshire","East of England","230","220","30990","29290"
"In post","2021","Black","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","280","270","30400","28670"
"In post","2021","Black","Cheshire","North West (England)","30","30","[c]","[c]"
"In post","2021","Black","Cornwall and Isles of Scilly","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cumbria","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Derbyshire and Nottinghamshire","East Midlands (England)","320","300","27280","26560"
"In post","2021","Black","Devon","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Dorset and Somerset","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Anglia","East of England","120","120","32370","27570"
"In post","2021","Black","East Wales","Wales","160","150","29350","26860"
"In post","2021","Black","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Black","Eastern Scotland","Scotland","90","80","32700","27990"
"In post","2021","Black","Essex","East of England","240","230","29610","29290"
"In post","2021","Black","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","490","470","32780","31110"
"In post","2021","Black","Greater Manchester","North West (England)","520","490","28450","27370"
"In post","2021","Black","Hampshire and Isle of Wight","South East (England)","170","150","28800","27570"
"In post","2021","Black","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","60","60","26380","25790"
"In post","2021","Black","Highlands and Islands","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inner London - East","London","2540","2440","33470","31060"
"In post","2021","Black","Inner London - West","London","4330","4230","36970","33460"
"In post","2021","Black","Kent","South East (England)","180","180","31630","29290"
"In post","2021","Black","Lancashire","North West (England)","60","50","27760","27570"
"In post","2021","Black","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","170","160","26400","24140"
"In post","2021","Black","Lincolnshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Merseyside","North West (England)","110","110","28530","25410"
"In post","2021","Black","North Eastern Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","North Yorkshire","Yorkshire and The Humber","40","30","[c]","[c]"
"In post","2021","Black","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northumberland and Tyne and Wear","North East (England)","110","110","27260","25560"
"In post","2021","Black","Outer London - East and North East","London","640","620","30720","31060"
"In post","2021","Black","Outer London - South","London","1580","1510","33010","30470"
"In post","2021","Black","Outer London - West and North West","London","880","830","31350","31060"
"In post","2021","Black","Overseas","Overseas","70","70","41950","37500"
"In post","2021","Black","Shropshire and Staffordshire","West Midlands (England)","110","100","28430","27570"
"In post","2021","Black","South Yorkshire","Yorkshire and The Humber","150","140","27790","25220"
"In post","2021","Black","Southern Scotland","Scotland","30","30","[c]","[c]"
"In post","2021","Black","Surrey, East and West Sussex","South East (England)","210","200","30660","28590"
"In post","2021","Black","Tees Valley and Durham","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","60","60","30280","29870"
"In post","2021","Black","West Central Scotland","Scotland","100","90","28710","27570"
"In post","2021","Black","West Midlands","West Midlands (England)","1030","970","28310","26550"
"In post","2021","Black","West Wales and The Valleys","Wales","30","30","[c]","[c]"
"In post","2021","Black","West Yorkshire","Yorkshire and The Humber","320","310","28510","27570"
"In post","2021","Chinese","Bedfordshire and Hertfordshire","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","30","30","[c]","[c]"
"In post","2021","Chinese","Cheshire","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Cornwall and Isles of Scilly","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Cumbria","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Derbyshire and Nottinghamshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Devon","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Dorset and Somerset","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East Anglia","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East Wales","Wales","50","50","[c]","[c]"
"In post","2021","Chinese","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Eastern Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Essex","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","40","40","[c]","[c]"
"In post","2021","Chinese","Greater Manchester","North West (England)","80","70","29800","25560"
"In post","2021","Chinese","Hampshire and Isle of Wight","South East (England)","40","40","[c]","[c]"
"In post","2021","Chinese","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Highlands and Islands","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Inner London - East","London","110","110","44400","40450"
"In post","2021","Chinese","Inner London - West","London","360","360","44730","40860"
"In post","2021","Chinese","Kent","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Lancashire","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Lincolnshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Merseyside","North West (England)","60","50","28140","24890"
"In post","2021","Chinese","North Eastern Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North Yorkshire","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Northumberland and Tyne and Wear","North East (England)","40","40","[c]","[c]"
"In post","2021","Chinese","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Outer London - South","London","70","60","39510","36160"
"In post","2021","Chinese","Outer London - West and North West","London","40","40","[c]","[c]"
"In post","2021","Chinese","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Shropshire and Staffordshire","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South Yorkshire","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Southern Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Surrey, East and West Sussex","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Tees Valley and Durham","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","West Central Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","West Midlands","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Chinese","West Wales and The Valleys","Wales","[c]","[c]","[c]","[c]"
