"Status","Year","Ethnicity","Region_ITL3","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Armagh City, Banbridge and Craigavon","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Armagh City, Banbridge and Craigavon","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","Declared non-disabled","120","110","30800","31060"
"In post","2021","Asian","Barking & Dagenham and Havering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnet","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnet","Declared non-disabled","290","270","35510","31880"
"In post","2021","Asian","Barnet","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnet","Unknown","80","70","47100","40070"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","300","290","35440","33000"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedford","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedford","Declared non-disabled","60","60","27110","27570"
"In post","2021","Asian","Bedford","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Belfast","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Belfast","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire","Declared disabled","40","30","[c]","[c]"
"In post","2021","Asian","Berkshire","Declared non-disabled","220","200","30350","29290"
"In post","2021","Asian","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bexley and Greenwich","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bexley and Greenwich","Declared non-disabled","80","80","30300","31060"
"In post","2021","Asian","Bexley and Greenwich","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Birmingham","Declared disabled","240","220","26590","26290"
"In post","2021","Asian","Birmingham","Declared non-disabled","1900","1770","26670","24890"
"In post","2021","Asian","Birmingham","Undeclared","110","100","26730","25560"
"In post","2021","Asian","Birmingham","Unknown","180","170","32290","28840"
"In post","2021","Asian","Blackburn with Darwen","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Blackburn with Darwen","Declared non-disabled","100","80","24990","27570"
"In post","2021","Asian","Blackburn with Darwen","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Blackburn with Darwen","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Blackpool","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Blackpool","Declared non-disabled","70","70","30070","27570"
"In post","2021","Asian","Blackpool","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bournemouth and Poole","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bournemouth and Poole","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bournemouth and Poole","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bradford","Declared disabled","50","40","[c]","[c]"
"In post","2021","Asian","Bradford","Declared non-disabled","550","490","25120","21440"
"In post","2021","Asian","Bradford","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bradford","Unknown","60","50","25500","25560"
"In post","2021","Asian","Breckland and South Norfolk","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Breckland and South Norfolk","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brent","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brent","Declared non-disabled","120","110","29980","31060"
"In post","2021","Asian","Brent","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bridgend and Neath Port Talbot","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bridgend and Neath Port Talbot","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brighton and Hove","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brighton and Hove","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brighton and Hove","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brighton and Hove","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bristol, City of","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bristol, City of","Declared non-disabled","120","110","34230","29180"
"In post","2021","Asian","Bristol, City of","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bristol, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bromley","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bromley","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bromley","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Buckinghamshire CC","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Buckinghamshire CC","Declared non-disabled","70","70","30140","27570"
"In post","2021","Asian","Buckinghamshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Buckinghamshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Caithness and Sutherland and Ross and Cromarty","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Caithness and Sutherland and Ross and Cromarty","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Calderdale and Kirklees","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Calderdale and Kirklees","Declared non-disabled","120","100","26440","27570"
"In post","2021","Asian","Calderdale and Kirklees","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Calderdale and Kirklees","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cambridgeshire CC","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cambridgeshire CC","Declared non-disabled","60","60","34170","29210"
"In post","2021","Asian","Cambridgeshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Camden and City of London","Declared disabled","50","40","[c]","[c]"
"In post","2021","Asian","Camden and City of London","Declared non-disabled","430","410","32360","29570"
"In post","2021","Asian","Camden and City of London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Camden and City of London","Unknown","80","70","40310","36160"
"In post","2021","Asian","Cardiff and Vale of Glamorgan","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cardiff and Vale of Glamorgan","Declared non-disabled","200","190","29440","25560"
"In post","2021","Asian","Cardiff and Vale of Glamorgan","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cardiff and Vale of Glamorgan","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Causeway Coast and Glens","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Causeway Coast and Glens","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Bedfordshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Bedfordshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Hampshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Hampshire","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Asian","Central Hampshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Valleys","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Valleys","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire East","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire East","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire West and Chester","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire West and Chester","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chorley and West Lancashire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chorley and West Lancashire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chorley and West Lancashire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","City of Edinburgh","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","City of Edinburgh","Declared non-disabled","80","80","34010","30370"
"In post","2021","Asian","City of Edinburgh","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","City of Edinburgh","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Clackmannanshire and Fife","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Clackmannanshire and Fife","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Clackmannanshire and Fife","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Conwy and Denbighshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Conwy and Denbighshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Coventry","Declared disabled","30","30","[c]","[c]"
"In post","2021","Asian","Coventry","Declared non-disabled","340","320","33520","29730"
"In post","2021","Asian","Coventry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Coventry","Unknown","40","40","[c]","[c]"
"In post","2021","Asian","Croydon","Declared disabled","150","130","33810","29370"
"In post","2021","Asian","Croydon","Declared non-disabled","1330","1250","34380","29570"
"In post","2021","Asian","Croydon","Undeclared","60","60","32440","29370"
"In post","2021","Asian","Croydon","Unknown","60","60","35600","34480"
"In post","2021","Asian","Darlington","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Darlington","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Darlington","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Darlington","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derby","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derby","Declared non-disabled","90","70","26030","27570"
"In post","2021","Asian","Derby","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derby","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derry City and Strabane","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derry City and Strabane","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon CC","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon CC","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset CC","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset CC","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dudley","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dudley","Declared non-disabled","80","70","24070","21010"
"In post","2021","Asian","Dudley","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dudley","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dumfries and Galloway","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dumfries and Galloway","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Durham CC","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Durham CC","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Asian","Durham CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Durham CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ealing","Declared disabled","40","30","[c]","[c]"
"In post","2021","Asian","Ealing","Declared non-disabled","140","130","31370","31060"
"In post","2021","Asian","Ealing","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ealing","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Ayrshire and North Ayrshire mainland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Ayrshire and North Ayrshire mainland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Cumbria","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Cumbria","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Derbyshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Derbyshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Kent","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Kent","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Asian","East Kent","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Lancashire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Lancashire","Declared non-disabled","60","50","24860","27570"
"In post","2021","Asian","East Lancashire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Lothian and Midlothian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Lothian and Midlothian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Merseyside","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Merseyside","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Riding of Yorkshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Riding of Yorkshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Riding of Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Surrey","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Surrey","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Surrey","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Surrey","Unknown","[c]","[c]","[c]","[c]"
