"Status","Year","Ethnicity","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Female","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Animal and Plant Health Agency","40","30","[c]","[c]"
"In post","2021","Asian","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Cabinet Office (excl. agencies)","280","270","44200","38560"
"In post","2021","Asian","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Competition and Markets Authority","60","60","42590","35270"
"In post","2021","Asian","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Crown Prosecution Service","430","380","38990","31820"
"In post","2021","Asian","Female","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Defence Equipment and Support","110","100","32420","29230"
"In post","2021","Asian","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","260","250","44690","40050"
"In post","2021","Asian","Female","Department for Digital, Culture, Media and Sport","70","70","46090","50860"
"In post","2021","Asian","Female","Department for Education (excl. agencies)","260","250","40380","36660"
"In post","2021","Asian","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","140","140","38860","33620"
