"Status","Year","Ethnicity","Sex","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Female","Bedfordshire and Hertfordshire","340","300","30220","27570"
"In post","2021","Asian","Female","Berkshire, Buckinghamshire and Oxfordshire","350","310","30140","27990"
"In post","2021","Asian","Female","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Derbyshire and Nottinghamshire","370","320","29360","27570"
"In post","2021","Asian","Female","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","East Anglia","200","160","25310","21430"
"In post","2021","Asian","Female","East Wales","160","150","29730","25720"
"In post","2021","Asian","Female","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Eastern Scotland","110","100","31640","27570"
"In post","2021","Asian","Female","Essex","120","110","32830","29290"
"In post","2021","Asian","Female","Gloucestershire, Wiltshire and Bath/Bristol area","320","290","33390","28590"
"In post","2021","Asian","Female","Greater Manchester","640","570","27770","25560"
"In post","2021","Asian","Female","Hampshire and Isle of Wight","160","140","28300","26670"
"In post","2021","Asian","Female","Herefordshire, Worcestershire and Warwickshire","110","90","25530","25040"
"In post","2021","Asian","Female","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Inner London - East","1450","1320","35940","31060"
"In post","2021","Asian","Female","Inner London - West","3560","3390","40880","36160"
"In post","2021","Asian","Female","Kent","90","80","29190","29290"
"In post","2021","Asian","Female","Lancashire","400","330","24420","21010"
"In post","2021","Asian","Female","Leicestershire, Rutland and Northamptonshire","570","490","24960","21770"
"In post","2021","Asian","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Merseyside","70","60","33150","25040"
"In post","2021","Asian","Female","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","North Yorkshire","40","30","[c]","[c]"
"In post","2021","Asian","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Northumberland and Tyne and Wear","160","150","26930","21440"
"In post","2021","Asian","Female","Outer London - East and North East","440","380","29370","31060"
"In post","2021","Asian","Female","Outer London - South","1070","970","33140","29570"
"In post","2021","Asian","Female","Outer London - West and North West","1630","1450","30940","29690"
"In post","2021","Asian","Female","Overseas","60","60","42680","34770"
"In post","2021","Asian","Female","Shropshire and Staffordshire","140","130","31460","27570"
"In post","2021","Asian","Female","South Yorkshire","210","190","27550","24890"
"In post","2021","Asian","Female","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Surrey, East and West Sussex","180","160","29480","27960"
"In post","2021","Asian","Female","Tees Valley and Durham","50","50","25400","21440"
"In post","2021","Asian","Female","Unknown","110","90","28840","27570"
"In post","2021","Asian","Female","West Central Scotland","130","110","27680","24890"
"In post","2021","Asian","Female","West Midlands","2020","1800","27270","25560"
"In post","2021","Asian","Female","West Wales and The Valleys","50","40","[c]","[c]"
"In post","2021","Asian","Female","West Yorkshire","880","760","27090","25560"
"In post","2021","Asian","Male","Bedfordshire and Hertfordshire","200","200","31730","29290"
"In post","2021","Asian","Male","Berkshire, Buckinghamshire and Oxfordshire","250","240","31390","28700"
"In post","2021","Asian","Male","Cheshire","30","30","[c]","[c]"
"In post","2021","Asian","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Derbyshire and Nottinghamshire","280","270","30550","27570"
"In post","2021","Asian","Male","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","East Anglia","170","160","29310","25310"
"In post","2021","Asian","Male","East Wales","170","170","31010","25560"
"In post","2021","Asian","Male","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Eastern Scotland","80","80","33190","27570"
"In post","2021","Asian","Male","Essex","100","90","37170","29290"
"In post","2021","Asian","Male","Gloucestershire, Wiltshire and Bath/Bristol area","370","360","35720","32860"
"In post","2021","Asian","Male","Greater Manchester","730","710","29840","27570"
"In post","2021","Asian","Male","Hampshire and Isle of Wight","140","130","32790","27570"
"In post","2021","Asian","Male","Herefordshire, Worcestershire and Warwickshire","90","80","27410","25400"
"In post","2021","Asian","Male","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Inner London - East","1070","1050","38590","32520"
"In post","2021","Asian","Male","Inner London - West","2440","2410","41950","36650"
"In post","2021","Asian","Male","Kent","70","70","29800","29290"
"In post","2021","Asian","Male","Lancashire","570","540","25130","21440"
"In post","2021","Asian","Male","Leicestershire, Rutland and Northamptonshire","460","430","25470","22350"
"In post","2021","Asian","Male","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Merseyside","90","90","34110","27570"
"In post","2021","Asian","Male","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","North Yorkshire","40","40","[c]","[c]"
"In post","2021","Asian","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Northumberland and Tyne and Wear","120","120","30070","25560"
"In post","2021","Asian","Male","Outer London - East and North East","260","250","30040","31060"
"In post","2021","Asian","Male","Outer London - South","640","620","35620","31060"
"In post","2021","Asian","Male","Outer London - West and North West","1010","970","31510","29080"
"In post","2021","Asian","Male","Overseas","90","90","48870","45910"
"In post","2021","Asian","Male","Shropshire and Staffordshire","160","150","32620","27570"
"In post","2021","Asian","Male","South Yorkshire","200","200","28940","25040"
"In post","2021","Asian","Male","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Surrey, East and West Sussex","130","130","29890","27570"
"In post","2021","Asian","Male","Tees Valley and Durham","60","50","27890","24880"
"In post","2021","Asian","Male","Unknown","60","60","31140","27570"
"In post","2021","Asian","Male","West Central Scotland","110","100","30510","26160"
"In post","2021","Asian","Male","West Midlands","1560","1520","27920","26470"
"In post","2021","Asian","Male","West Wales and The Valleys","50","50","[c]","[c]"
"In post","2021","Asian","Male","West Yorkshire","920","890","28470","27570"
"In post","2021","Black","Female","Bedfordshire and Hertfordshire","150","140","30430","29290"
"In post","2021","Black","Female","Berkshire, Buckinghamshire and Oxfordshire","170","160","29620","27570"
"In post","2021","Black","Female","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Derbyshire and Nottinghamshire","190","180","26850","25830"
"In post","2021","Black","Female","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","East Anglia","70","60","31320","27570"
"In post","2021","Black","Female","East Wales","80","70","28070","25560"
"In post","2021","Black","Female","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Eastern Scotland","60","50","30790","27570"
"In post","2021","Black","Female","Essex","170","160","29130","29290"
"In post","2021","Black","Female","Gloucestershire, Wiltshire and Bath/Bristol area","250","240","31390","28610"
"In post","2021","Black","Female","Greater Manchester","300","280","28260","27370"
"In post","2021","Black","Female","Hampshire and Isle of Wight","100","90","28560","27570"
"In post","2021","Black","Female","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Inner London - East","1720","1640","32740","31060"
"In post","2021","Black","Female","Inner London - West","2940","2840","36570","32960"
"In post","2021","Black","Female","Kent","110","110","31870","29290"
"In post","2021","Black","Female","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Leicestershire, Rutland and Northamptonshire","110","100","25400","22350"
"In post","2021","Black","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Merseyside","60","50","27290","24890"
"In post","2021","Black","Female","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Northumberland and Tyne and Wear","60","50","25100","21050"
"In post","2021","Black","Female","Outer London - East and North East","440","420","30560","31060"
"In post","2021","Black","Female","Outer London - South","1090","1030","32670","30110"
"In post","2021","Black","Female","Outer London - West and North West","550","520","30990","31060"
"In post","2021","Black","Female","Overseas","40","40","[c]","[c]"
"In post","2021","Black","Female","Shropshire and Staffordshire","50","50","28600","27570"
"In post","2021","Black","Female","South Yorkshire","80","70","28520","25520"
"In post","2021","Black","Female","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Surrey, East and West Sussex","100","90","29320","27570"
"In post","2021","Black","Female","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Unknown","40","40","[c]","[c]"
"In post","2021","Black","Female","West Central Scotland","50","40","[c]","[c]"
"In post","2021","Black","Female","West Midlands","720","660","27670","25930"
"In post","2021","Black","Female","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","West Yorkshire","180","170","28460","27570"
