"Status","Year","Function_of_post","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Declared disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Defence Science and Technology Laboratory","60","50","37970","37320"
"In post","2021","Analysis","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Department for Education (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","HM Revenue and Customs (excl. agencies)","60","60","43330","38630"
"In post","2021","Analysis","Declared disabled","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Analysis","Declared disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
