"Status","Year","Function_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Female","210","190","30970","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","270","260","35910","30660"
"In post","2021","Analysis","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Female","60","50","57500","56360"
"In post","2021","Analysis","Competition and Markets Authority","Male","80","80","62080","56630"
"In post","2021","Analysis","Crown Prosecution Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Female","140","130","37880","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Male","320","310","41340","39420"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","100","100","42610","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","190","190","43790","37890"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Female","50","50","53780","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Male","90","90","51690","43280"
