"Status","Year","Function_of_post","Region_ITL3","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","60","50","40630","38530"
"In post","2021","Analysis","Bedford","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bradford","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Office for Standards in Education","90","90","39150","32010"
"In post","2021","Analysis","Bristol, City of","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Chancellor's other departments","170","150","69370","65470"
"In post","2021","Analysis","Camden and City of London","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Ministry of Defence","350","340","40800","37700"
"In post","2021","Analysis","Central Valleys","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire East","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2021","Analysis","Croydon","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","Department for Education","30","30","[c]","[c]"
"In post","2021","Analysis","Devon CC","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","Department for Environment, Food and Rural Affairs","120","110","33040","29270"
"In post","2021","Analysis","Durham CC","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Derbyshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Kent","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Riding of Yorkshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North East","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North West","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inverness and Nairn and Moray, Badenoch and Strathspey","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Department of Health and Social Care","90","80","47560","49530"
"In post","2021","Analysis","Leeds","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Analysis","Leicester","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire CC and Rutland","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","HM Revenue and Customs","70","70","39900","38630"
"In post","2021","Analysis","Liverpool","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","Department for Education","40","40","[c]","[c]"
"In post","2021","Analysis","Manchester","HM Revenue and Customs","160","160","38680","34530"
"In post","2021","Analysis","Manchester","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Medway","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Medway","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merton, Kingston upon Thames and Sutton","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","Ministry of Justice","[c]","[c]","[c]","[c]"
