"Status","Year","Organisation","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","110","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","90","80","30970","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bristol, City of","60","50","33460","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","90","90","30920","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Glasgow City","100","100","30430","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Leeds","70","60","31800","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Manchester","140","130","29840","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North Hampshire","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Nottingham","100","90","29690","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Suffolk","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Tyneside","140","130","29960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Westminster","200","190","42390","38670"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Bristol, City of","50","50","25450","21050"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
