"Status","Year","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Heterosexual / straight","80","70","32700","29190"
"In post","2021","Accountant in Bankruptcy","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Unknown","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","630","580","34790","34270"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","LGBO","50","50","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Undeclared","130","120","35210","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Unknown","250","240","28490","24250"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Heterosexual / straight","1880","1780","30450","27960"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","LGBO","130","130","27550","25010"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Undeclared","340","320","33230","30230"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","330","300","30410","26520"
"In post","2021","Attorney General's Office","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Heterosexual / straight","4420","4300","47980","40600"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","LGBO","440","430","44900","40600"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Undeclared","510","490","47740","40600"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","4100","4050","45320","33250"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Heterosexual / straight","230","210","33820","29510"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Undeclared","30","30","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Unknown","340","320","34520","29750"
"In post","2021","Charity Commission","Charity Commission","Heterosexual / straight","230","220","34440","29160"
"In post","2021","Charity Commission","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Unknown","180","170","35400","30000"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","710","660","31890","27460"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","LGBO","40","40","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Undeclared","90","80","30640","25100"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Unknown","260","230","27740","22490"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Heterosexual / straight","690","660","59810","56360"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","LGBO","60","60","57440","55860"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Undeclared","60","60","61350","59020"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Unknown","40","40","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Heterosexual / straight","190","180","26650","22710"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","70","70","25090","22570"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Heterosexual / straight","560","540","38700","34800"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","LGBO","30","30","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Unknown","170","170","34790","31000"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Heterosexual / straight","1740","1610","35150","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","LGBO","80","70","33390","27810"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Undeclared","100","90","39430","34150"
