"Status","Year","Parent_department","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Declared non-disabled","70","60","44550","39750"
"In post","2021","Attorney General's Departments","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Declared non-disabled","160","160","45370","40000"
"In post","2021","Attorney General's Departments","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Unknown","70","70","47590","40310"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Declared non-disabled","130","120","41200","38180"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Declared non-disabled","120","110","37120","31560"
"In post","2021","Attorney General's Departments","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Declared non-disabled","150","140","39450","34160"
"In post","2021","Attorney General's Departments","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Unknown","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Declared disabled","840","780","44720","48080"
"In post","2021","Attorney General's Departments","Legal","Declared non-disabled","5980","5520","46420","50520"
"In post","2021","Attorney General's Departments","Legal","Undeclared","120","110","56830","63730"
"In post","2021","Attorney General's Departments","Legal","Unknown","1780","1680","41820","40000"
"In post","2021","Attorney General's Departments","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","Declared non-disabled","60","60","42720","40000"
"In post","2021","Attorney General's Departments","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Declared disabled","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Declared non-disabled","330","320","76000","65310"
"In post","2021","Cabinet Office","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Unknown","1040","1020","69450","64500"
"In post","2021","Cabinet Office","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Declared non-disabled","210","200","47320","40850"
"In post","2021","Cabinet Office","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Unknown","110","110","47040","42550"
"In post","2021","Cabinet Office","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","Declared non-disabled","70","70","48440","53230"
"In post","2021","Cabinet Office","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Declared disabled","90","90","48410","54700"
