"Status","Year","Parent_department","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SEO/HEO","50","50","37490","38590"
"In post","2021","Attorney General's Departments","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","EO","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","G6/G7","80","70","64250","63000"
"In post","2021","Attorney General's Departments","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","SEO/HEO","130","130","37120","36050"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","EO","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","G6/G7","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","SEO/HEO","90","90","37000","38180"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","EO","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","SEO/HEO","60","60","34350","32520"
"In post","2021","Attorney General's Departments","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","EO","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","G6/G7","60","60","57890","54760"
"In post","2021","Attorney General's Departments","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","SEO/HEO","110","100","34720","33420"
"In post","2021","Attorney General's Departments","Legal","AA/AO","1480","1360","22300","21950"
"In post","2021","Attorney General's Departments","Legal","EO","1560","1460","28150","28430"
"In post","2021","Attorney General's Departments","Legal","G6/G7","4470","4120","58390","55610"
"In post","2021","Attorney General's Departments","Legal","SCS","280","270","86920","82500"
"In post","2021","Attorney General's Departments","Legal","SEO/HEO","920","890","36770","38000"
"In post","2021","Attorney General's Departments","No function","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","G6/G7","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","G6/G7","800","780","63320","56920"
"In post","2021","Cabinet Office","Commercial","SCS","480","470","93150","74000"
"In post","2021","Cabinet Office","Commercial","SEO/HEO","110","110","38140","38420"
"In post","2021","Cabinet Office","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","EO","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Communications","G6/G7","120","120","59330","56610"
"In post","2021","Cabinet Office","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","SEO/HEO","150","150","38750","39370"
"In post","2021","Cabinet Office","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","G6/G7","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","EO","60","60","27450","27500"
"In post","2021","Cabinet Office","Digital, Data & Technology","G6/G7","600","590","58330","56340"
"In post","2021","Cabinet Office","Digital, Data & Technology","SCS","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","SEO/HEO","270","270","37100","35590"
"In post","2021","Cabinet Office","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","G6/G7","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","AA/AO","170","150","21010","20800"
"In post","2021","Cabinet Office","Human Resources","EO","220","210","26240","25760"
"In post","2021","Cabinet Office","Human Resources","G6/G7","270","260","57550","56520"
"In post","2021","Cabinet Office","Human Resources","SCS","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","SEO/HEO","420","410","36270","36310"
"In post","2021","Cabinet Office","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Legal","SCS","50","50","[c]","[c]"
"In post","2021","Cabinet Office","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","AA/AO","110","110","24160","24490"
"In post","2021","Cabinet Office","No function","EO","340","330","27940","27500"
"In post","2021","Cabinet Office","No function","G6/G7","950","930","58240","54700"
"In post","2021","Cabinet Office","No function","SCS","250","250","86750","77000"
"In post","2021","Cabinet Office","No function","SEO/HEO","2530","2520","31970","32000"
"In post","2021","Cabinet Office","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","G6/G7","70","70","60190","58940"
"In post","2021","Cabinet Office","Project Delivery","SCS","70","70","109830","108390"
"In post","2021","Cabinet Office","Project Delivery","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Property","G6/G7","50","50","56400","54700"
"In post","2021","Cabinet Office","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Property","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Security","AA/AO","240","220","20930","20920"
"In post","2021","Cabinet Office","Security","EO","140","140","26580","26670"
"In post","2021","Cabinet Office","Security","G6/G7","90","80","58620","54700"
"In post","2021","Cabinet Office","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Security","SEO/HEO","390","370","35290","33630"
"In post","2021","Cabinet Office","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","G6/G7","110","100","87640","82910"
"In post","2021","Chancellor's other departments","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","SEO/HEO","60","50","41480","41210"
"In post","2021","Chancellor's other departments","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
