"Status","Year","Parent_department","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Inner London - West","60","60","43790","39750"
"In post","2021","Attorney General's Departments","Communications","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Inner London - West","280","270","45240","40080"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Inner London - West","80","80","43070","39800"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","North Yorkshire","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Inner London - West","70","60","42800","32570"
"In post","2021","Attorney General's Departments","Finance","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Devon","[c]","[c]","[c]","[c]"
