"Status","Year","Parent_department","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","270","260","37450","30370"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","160","140","39390","38470"
"In post","2021","Attorney General's Departments","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","170","150","42490","40000"
"In post","2021","Attorney General's Departments","East of England","East Anglia","120","110","36490","28430"
"In post","2021","Attorney General's Departments","East of England","Essex","190","170","41150","35020"
"In post","2021","Attorney General's Departments","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Inner London - West","4510","4250","50510","51250"
"In post","2021","Attorney General's Departments","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Outer London - South","100","90","38650","31180"
"In post","2021","Attorney General's Departments","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Northumberland and Tyne and Wear","240","220","37990","32370"
"In post","2021","Attorney General's Departments","North East (England)","Tees Valley and Durham","100","90","38060","32370"
"In post","2021","Attorney General's Departments","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Cumbria","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Greater Manchester","370","340","41260","38000"
"In post","2021","Attorney General's Departments","North West (England)","Lancashire","180","170","40040","38000"
"In post","2021","Attorney General's Departments","North West (England)","Merseyside","360","350","37570","30930"
"In post","2021","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","140","130","43310","40000"
"In post","2021","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","260","240","42870","39750"
"In post","2021","Attorney General's Departments","South East (England)","Kent","130","120","39410","30110"
"In post","2021","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","170","160","42360","36240"
"In post","2021","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Devon","100","90","39950","36240"
"In post","2021","Attorney General's Departments","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","200","190","43320","48080"
"In post","2021","Attorney General's Departments","Wales","East Wales","290","270","41190","38760"
"In post","2021","Attorney General's Departments","Wales","West Wales and The Valleys","70","70","41350","38180"
"In post","2021","Attorney General's Departments","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Shropshire and Staffordshire","70","60","41790","48080"
"In post","2021","Attorney General's Departments","West Midlands (England)","West Midlands","490","460","39800","38000"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","70","70","38580","28430"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","North Yorkshire","320","290","47160","53350"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","South Yorkshire","140","120","35940","28430"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","West Yorkshire","450","420","41050","38000"
"In post","2021","Cabinet Office","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","East Anglia","110","110","47220","40250"
"In post","2021","Cabinet Office","London","Inner London - East","900","880","52110","54700"
"In post","2021","Cabinet Office","London","Inner London - West","5550","5480","49460","40600"
"In post","2021","Cabinet Office","London","Outer London - South","50","50","43890","32000"
"In post","2021","Cabinet Office","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","Northumberland and Tyne and Wear","400","380","28460","23850"
"In post","2021","Cabinet Office","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","Greater Manchester","270","270","45320","38650"
"In post","2021","Cabinet Office","North West (England)","Lancashire","50","50","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","Merseyside","130","120","49120","49700"
"In post","2021","Cabinet Office","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","120","110","35550","33300"
"In post","2021","Cabinet Office","South East (England)","Hampshire and Isle of Wight","90","90","51790","51480"
"In post","2021","Cabinet Office","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","170","170","55360","52600"
"In post","2021","Cabinet Office","Unknown","Unknown","600","600","36250","32000"
"In post","2021","Cabinet Office","Wales","East Wales","60","60","38710","30620"
"In post","2021","Cabinet Office","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands (England)","West Midlands","40","40","[c]","[c]"
