"Status","Year","Parent_department","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Legal","170","150","42580","40000"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Legal","130","120","43640","40000"
"In post","2021","Attorney General's Departments","Cheshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","Legal","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Legal","240","220","38880","34480"
"In post","2021","Attorney General's Departments","Devon","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","Legal","100","90","40460","38760"
"In post","2021","Attorney General's Departments","East Anglia","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Legal","110","100","36230","28430"
"In post","2021","Attorney General's Departments","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Legal","270","250","41320","38760"
