"Status","Year","Parent_department","Region_ITL2","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","EO","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","80","70","59050","61510"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","60","50","59990","62120"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","AA/AO","70","70","21320","21950"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","EO","60","50","26840","26220"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","G6/G7","100","90","54350","55610"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","G6/G7","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","AA/AO","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","G6/G7","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","AA/AO","60","60","21910","21950"
"In post","2021","Attorney General's Departments","East Wales","EO","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","G6/G7","130","120","54890","55610"
"In post","2021","Attorney General's Departments","East Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
