"Status","Year","Profession_of_post","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Asian","160","150","38560","36500"
"In post","2021","Commercial","Commercial","Black","140","130","38360","36390"
"In post","2021","Commercial","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Mixed","70","60","39420","34800"
"In post","2021","Commercial","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Undeclared","180","170","38820","37320"
"In post","2021","Commercial","Commercial","Unknown","490","480","39500","37600"
"In post","2021","Commercial","Commercial","White","3040","2930","40970","38000"
"In post","2021","Commercial","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Digital, Data & Technology","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","White","[c]","[c]","[c]","[c]"
