"Status","Year","Profession_of_post","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Department for Business, Energy and Industrial Strategy","240","230","43140","42290"
"In post","2021","Commercial","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Department for Education","190","190","40230","38000"
"In post","2021","Commercial","Commercial","Department for Environment, Food and Rural Affairs","170","160","38710","36970"
"In post","2021","Commercial","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Department for Transport","210","190","33760","31300"
"In post","2021","Commercial","Commercial","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Commercial","Commercial","Department of Health and Social Care","240","230","47480","40650"
"In post","2021","Commercial","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Foreign, Commonwealth and Development Office","160","150","44440","41170"
"In post","2021","Commercial","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","HM Revenue and Customs","80","70","39720","38630"
"In post","2021","Commercial","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Ministry of Defence","1170","1130","37330","34800"
"In post","2021","Commercial","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Ministry of Justice","880","860","46720","44760"
"In post","2021","Commercial","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Other Cabinet Office Agencies","370","360","34050","34800"
"In post","2021","Commercial","Commercial","Scottish Government","100","100","31960","25870"
"In post","2021","Commercial","Commercial","The National Archives","40","40","[c]","[c]"
"In post","2021","Commercial","Commercial","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Commercial","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Department for Education","190","180","41350","36960"
"In post","2021","Commercial","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Department for Transport","80","80","52290","54110"
"In post","2021","Commercial","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Ministry of Defence","800","770","38620","35040"
"In post","2021","Commercial","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Commercial","Property","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Security","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Home Office","90","90","41360","42100"
"In post","2021","Commercial","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Attorney General's Departments","80","80","42430","39750"
"In post","2021","Communications","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Communications","Communications","Department for Business, Energy and Industrial Strategy","230","220","43860","39820"
"In post","2021","Communications","Communications","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Communications","Communications","Department for Education","330","320","39370","36780"
"In post","2021","Communications","Communications","Department for Environment, Food and Rural Affairs","270","260","41360","37560"
"In post","2021","Communications","Communications","Department for International Trade","90","90","42740","38540"
"In post","2021","Communications","Communications","Department for Transport","290","280","37840","34710"
"In post","2021","Communications","Communications","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Communications","Communications","Department of Health and Social Care","310","300","44020","40650"
"In post","2021","Communications","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Communications","Communications","Foreign, Commonwealth and Development Office","140","140","47970","44670"
"In post","2021","Communications","Communications","HM Land Registry","30","30","[c]","[c]"
"In post","2021","Communications","Communications","HM Revenue and Customs","250","240","44360","39200"
"In post","2021","Communications","Communications","HM Treasury","40","40","[c]","[c]"
"In post","2021","Communications","Communications","Ministry of Defence","600","580","35110","33300"
"In post","2021","Communications","Communications","Ministry of Housing, Communities and Local Government","110","110","40730","34920"
"In post","2021","Communications","Communications","Ministry of Justice","120","110","46020","42910"
"In post","2021","Communications","Communications","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Communications","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Office for Standards in Education","40","30","[c]","[c]"
"In post","2021","Communications","Communications","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","Communications","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Scottish Government","40","30","[c]","[c]"
"In post","2021","Communications","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","United Kingdom Statistics Authority","90","80","37320","36030"
"In post","2021","Communications","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Communications","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
