"Status","Year","Profession_of_post","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Analysis","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Berkshire, Buckinghamshire and Oxfordshire","170","170","39170","36800"
"In post","2021","Commercial","Commercial","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Derbyshire and Nottinghamshire","70","70","42930","41650"
"In post","2021","Commercial","Commercial","Devon","220","210","42790","39790"
"In post","2021","Commercial","Commercial","Dorset and Somerset","40","40","[c]","[c]"
"In post","2021","Commercial","Commercial","East Anglia","210","200","38330","35730"
"In post","2021","Commercial","Commercial","East Wales","150","150","36550","32850"
"In post","2021","Commercial","Commercial","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Eastern Scotland","90","90","33600","28410"
"In post","2021","Commercial","Commercial","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","640","620","38710","36110"
"In post","2021","Commercial","Commercial","Greater Manchester","170","160","40160","38280"
"In post","2021","Commercial","Commercial","Hampshire and Isle of Wight","200","200","35780","34650"
"In post","2021","Commercial","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Inner London - East","70","70","45720","42000"
