"Status","Year","Profession_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","370","360","34050","34800"
"In post","2021","Commercial","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Ministry of Defence","920","880","39490","35570"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","70","70","33740","35520"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","Department for Education","190","180","39800","38000"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","140","140","39210","36970"
"In post","2021","Commercial","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Department for Transport","90","90","50180","46920"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","200","200","48750","40650"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","160","140","32760","31040"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Department for Transport","40","40","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Department for Education","190","180","41270","36960"
"In post","2021","Commercial","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","80","80","47060","41610"
"In post","2021","Commercial","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","80","70","41640","39860"
"In post","2021","Commercial","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Ministry of Justice","680","660","49260","48020"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","70","70","39630","38630"
"In post","2021","Commercial","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Home Office","90","90","41360","42100"
"In post","2021","Commercial","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","Ministry of Justice","100","90","40800","40080"
"In post","2021","Commercial","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","190","180","42990","40140"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","860","820","36300","34800"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","110","110","35560","34090"
"In post","2021","Commercial","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","Scottish Government","80","80","30640","25870"
"In post","2021","Commercial","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","Ministry of Defence","150","140","40040","38240"
"In post","2021","Commercial","The National Archives","The National Archives","40","40","[c]","[c]"
"In post","2021","Commercial","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Commercial","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","Attorney General's Departments","50","50","41310","39750"
"In post","2021","Communications","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
