"Status","Year","Profession_of_post","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Commercial","240","230","43140","42290"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Commercial","190","190","40230","38000"
"In post","2021","Commercial","Department for Education","No function","190","180","41350","36960"
"In post","2021","Commercial","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Commercial","170","160","38710","36970"
"In post","2021","Commercial","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Commercial","210","190","33760","31300"
"In post","2021","Commercial","Department for Transport","No function","80","80","52290","54110"
"In post","2021","Commercial","Department for Work and Pensions","Commercial","30","30","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Commercial","240","230","47480","40650"
"In post","2021","Commercial","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Commercial","160","150","44440","41170"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Commercial","80","70","39720","38630"
"In post","2021","Commercial","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Unknown","90","90","41360","42100"
"In post","2021","Commercial","Ministry of Defence","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Commercial","1170","1130","37330","34800"
"In post","2021","Commercial","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Project Delivery","800","770","38620","35040"
"In post","2021","Commercial","Ministry of Defence","Property","30","30","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Commercial","880","860","46720","44760"
"In post","2021","Commercial","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Commercial","370","360","34050","34800"
"In post","2021","Commercial","Other Cabinet Office Agencies","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Commercial","100","100","31960","25870"
"In post","2021","Commercial","The National Archives","Commercial","40","40","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Commercial","30","30","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Communications","80","80","42430","39750"
"In post","2021","Communications","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Communications","30","30","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Communications","230","220","43860","39820"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Communications","40","40","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","Communications","330","320","39370","36780"
"In post","2021","Communications","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Communications","270","260","41360","37560"
"In post","2021","Communications","Department for International Trade","Communications","90","90","42740","38540"
"In post","2021","Communications","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","No function","50","50","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","Communications","290","280","37840","34710"
"In post","2021","Communications","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Work and Pensions","Communications","30","30","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","Communications","310","300","44020","40650"
"In post","2021","Communications","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Communications","40","40","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","Communications","140","140","47970","44670"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","Communications","30","30","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","Communications","250","240","44360","39200"
"In post","2021","Communications","HM Treasury","Communications","40","40","[c]","[c]"
"In post","2021","Communications","HM Treasury","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Treasury","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office","Unknown","180","170","48630","43880"
