"Status","Year","Profession_of_post","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department for Transport","40","30","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Ministry of Defence","60","50","22500","20920"
"In post","2021","Commercial","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Ministry of Justice","60","50","22990","21710"
"In post","2021","Commercial","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Scottish Government","60","50","23570","24450"
"In post","2021","Commercial","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Education","30","30","[c]","[c]"
"In post","2021","Commercial","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Transport","60","50","26510","26700"
"In post","2021","Commercial","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
