"Status","Year","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","270","250","22530","21590"
"In post","2021","Commercial","EO","710","680","25970","26400"
"In post","2021","Commercial","G6/G7","1020","990","59000","56420"
"In post","2021","Commercial","SCS","100","100","89570","81130"
"In post","2021","Commercial","SEO/HEO","3040","2950","37650","37320"
"In post","2021","Commercial","Unknown","220","210","38620","37230"
"In post","2021","Communications","AA/AO","240","230","22250","21590"
"In post","2021","Communications","EO","630","610","27460","27140"
"In post","2021","Communications","G6/G7","940","910","58070","56690"
"In post","2021","Communications","SCS","120","110","86780","80910"
"In post","2021","Communications","SEO/HEO","2020","1970","37950","37410"
"In post","2021","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","70","70","58240","56360"
"In post","2021","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","60","60","36970","37320"
"In post","2021","Counter Fraud","AA/AO","50","50","20900","21430"
"In post","2021","Counter Fraud","EO","190","170","26610","26090"
"In post","2021","Counter Fraud","G6/G7","120","120","61670","58820"
"In post","2021","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","530","510","37550","37910"
"In post","2021","Digital, Data and Technology","AA/AO","440","430","21920","21580"
"In post","2021","Digital, Data and Technology","EO","2220","2150","27500","26670"
"In post","2021","Digital, Data and Technology","G6/G7","3460","3400","58330","57050"
"In post","2021","Digital, Data and Technology","SCS","230","220","91190","85000"
"In post","2021","Digital, Data and Technology","SEO/HEO","6880","6690","37750","37450"
"In post","2021","Digital, Data and Technology","Unknown","60","60","36010","33400"
"In post","2021","Economics","AA/AO","90","90","22640","22500"
"In post","2021","Economics","EO","120","120","27000","26750"
"In post","2021","Economics","G6/G7","950","920","59590","58000"
"In post","2021","Economics","SCS","90","90","88830","82390"
"In post","2021","Economics","SEO/HEO","910","900","34940","33930"
"In post","2021","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","1170","990","21410","21430"
"In post","2021","Finance","EO","1630","1540","26570","26670"
"In post","2021","Finance","G6/G7","2140","2090","59080","57900"
"In post","2021","Finance","SCS","280","280","90570","83380"
"In post","2021","Finance","SEO/HEO","3820","3690","37790","37290"
"In post","2021","Finance","Unknown","130","130","41340","39860"
"In post","2021","Human Resources","AA/AO","1210","1110","21650","21130"
"In post","2021","Human Resources","EO","1380","1300","27120","26710"
"In post","2021","Human Resources","G6/G7","1670","1610","58310","57430"
"In post","2021","Human Resources","SCS","190","190","89040","82680"
"In post","2021","Human Resources","SEO/HEO","3370","3220","36840","36330"
"In post","2021","Human Resources","Unknown","40","40","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6/G7","510","500","75360","75500"
"In post","2021","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","340","330","51020","51360"
"In post","2021","Intelligence Analysis","AA/AO","130","120","23320","21900"
"In post","2021","Intelligence Analysis","EO","1560","1480","27800","27370"
"In post","2021","Intelligence Analysis","G6/G7","410","400","58590","57460"
"In post","2021","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SEO/HEO","1270","1240","36990","36160"
"In post","2021","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","50","50","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","200","190","58920","56840"
"In post","2021","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","480","460","40520","40190"
"In post","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","100","100","26910","26510"
"In post","2021","International Trade","G6/G7","600","590","55610","53420"
"In post","2021","International Trade","SCS","110","110","85670","75570"
"In post","2021","International Trade","SEO/HEO","660","650","35430","34980"
