"Status","Year","Profession_of_post","Sex","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","20-29","450","450","30800","29550"
"In post","2021","Commercial","Female","30-39","710","660","37330","35430"
"In post","2021","Commercial","Female","40-49","790","750","42240","39420"
"In post","2021","Commercial","Female","50-59","730","700","40930","37920"
"In post","2021","Commercial","Female","60-64","150","130","40990","37570"
"In post","2021","Commercial","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","20-29","400","400","30700","29550"
"In post","2021","Commercial","Male","30-39","570","570","39750","38260"
"In post","2021","Commercial","Male","40-49","540","540","45090","41550"
"In post","2021","Commercial","Male","50-59","780","780","47670","43580"
"In post","2021","Commercial","Male","60-64","160","150","46150","42550"
"In post","2021","Commercial","Male","65+","40","40","[c]","[c]"
"In post","2021","Communications","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","20-29","550","540","33710","32440"
"In post","2021","Communications","Female","30-39","720","680","42870","40200"
"In post","2021","Communications","Female","40-49","600","540","46210","42420"
"In post","2021","Communications","Female","50-59","390","380","42710","38630"
"In post","2021","Communications","Female","60-64","60","50","39910","36310"
"In post","2021","Communications","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","20-29","290","290","35250","33610"
"In post","2021","Communications","Male","30-39","450","450","43370","40650"
"In post","2021","Communications","Male","40-49","450","450","45440","40850"
"In post","2021","Communications","Male","50-59","340","340","41940","36780"
"In post","2021","Communications","Male","60-64","70","60","36610","33300"
"In post","2021","Communications","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","40-49","30","30","[c]","[c]"
"In post","2021","Corporate Finance","Female","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","20-29","50","40","[c]","[c]"
"In post","2021","Counter Fraud","Female","30-39","100","90","35730","33100"
"In post","2021","Counter Fraud","Female","40-49","110","100","35530","34500"
"In post","2021","Counter Fraud","Female","50-59","120","120","37090","34050"
"In post","2021","Counter Fraud","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","20-29","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Male","30-39","90","90","37960","35620"
"In post","2021","Counter Fraud","Male","40-49","110","110","41050","39150"
"In post","2021","Counter Fraud","Male","50-59","180","170","43210","39980"
"In post","2021","Counter Fraud","Male","60-64","70","60","40700","38510"
"In post","2021","Counter Fraud","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","20-29","680","670","33550","31810"
"In post","2021","Digital, Data and Technology","Female","30-39","1190","1140","40720","38450"
"In post","2021","Digital, Data and Technology","Female","40-49","1270","1200","43380","39560"
"In post","2021","Digital, Data and Technology","Female","50-59","1200","1140","42370","38630"
"In post","2021","Digital, Data and Technology","Female","60-64","230","190","38420","34170"
"In post","2021","Digital, Data and Technology","Female","65+","50","50","35520","31670"
"In post","2021","Digital, Data and Technology","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","20-29","1260","1250","33130","31810"
"In post","2021","Digital, Data and Technology","Male","30-39","2120","2110","41190","38450"
"In post","2021","Digital, Data and Technology","Male","40-49","2440","2440","45590","42420"
"In post","2021","Digital, Data and Technology","Male","50-59","2200","2170","45050","41340"
"In post","2021","Digital, Data and Technology","Male","60-64","470","430","44070","40420"
"In post","2021","Digital, Data and Technology","Male","65+","150","120","43050","38830"
"In post","2021","Digital, Data and Technology","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","20-29","420","420","37570","33880"
"In post","2021","Economics","Female","30-39","220","200","55930","57580"
"In post","2021","Economics","Female","40-49","90","80","64320","60150"
"In post","2021","Economics","Female","50-59","40","40","[c]","[c]"
"In post","2021","Economics","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","20-29","760","760","37240","34090"
"In post","2021","Economics","Male","30-39","330","330","57100","57130"
"In post","2021","Economics","Male","40-49","150","140","64650","63470"
"In post","2021","Economics","Male","50-59","90","90","66000","64630"
"In post","2021","Economics","Male","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","20-29","610","600","32150","30080"
"In post","2021","Finance","Female","30-39","1070","990","39900","36820"
"In post","2021","Finance","Female","40-49","1370","1270","41390","37740"
"In post","2021","Finance","Female","50-59","1640","1520","37720","33530"
"In post","2021","Finance","Female","60-64","350","280","33480","28130"
"In post","2021","Finance","Female","65+","90","80","28970","26780"
"In post","2021","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","20-29","600","590","33030","30750"
"In post","2021","Finance","Male","30-39","840","840","43330","39780"
"In post","2021","Finance","Male","40-49","1080","1070","46550","42580"
"In post","2021","Finance","Male","50-59","1140","1120","46530","41980"
"In post","2021","Finance","Male","60-64","260","230","43520","41930"
"In post","2021","Finance","Male","65+","90","80","39110","37460"
"In post","2021","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","20-29","780","770","31060","28970"
"In post","2021","Human Resources","Female","30-39","1240","1150","37230","33220"
"In post","2021","Human Resources","Female","40-49","1520","1410","41360","37610"
"In post","2021","Human Resources","Female","50-59","1630","1540","40120","35950"
"In post","2021","Human Resources","Female","60-64","300","250","36010","32630"
"In post","2021","Human Resources","Female","65+","70","50","33420","28240"
"In post","2021","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","20-29","300","290","31380","28840"
"In post","2021","Human Resources","Male","30-39","500","500","37900","35000"
"In post","2021","Human Resources","Male","40-49","570","560","42510","38630"
"In post","2021","Human Resources","Male","50-59","740","730","42230","38390"
"In post","2021","Human Resources","Male","60-64","160","140","40410","35000"
"In post","2021","Human Resources","Male","65+","50","40","[c]","[c]"
"In post","2021","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Female","30-39","50","50","56760","51360"
"In post","2021","Inspector of Education and Training","Female","40-49","190","180","62490","64500"
"In post","2021","Inspector of Education and Training","Female","50-59","290","280","64840","64500"
"In post","2021","Inspector of Education and Training","Female","60-64","60","60","64720","51360"
"In post","2021","Inspector of Education and Training","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Male","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Male","40-49","80","80","73370","75500"
"In post","2021","Inspector of Education and Training","Male","50-59","100","100","73990","75500"
"In post","2021","Inspector of Education and Training","Male","60-64","30","30","[c]","[c]"
"In post","2021","Inspector of Education and Training","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Female","20-29","270","260","33470","30220"
"In post","2021","Intelligence Analysis","Female","30-39","440","410","33900","30340"
"In post","2021","Intelligence Analysis","Female","40-49","410","380","34850","30150"
"In post","2021","Intelligence Analysis","Female","50-59","380","350","33010","29450"
"In post","2021","Intelligence Analysis","Female","60-64","60","50","30970","29760"
"In post","2021","Intelligence Analysis","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Male","20-29","280","280","33860","31060"
"In post","2021","Intelligence Analysis","Male","30-39","470","470","36840","33300"
"In post","2021","Intelligence Analysis","Male","40-49","440","430","37370","33300"
"In post","2021","Intelligence Analysis","Male","50-59","490","480","36440","32850"
"In post","2021","Intelligence Analysis","Male","60-64","130","110","36000","32670"
"In post","2021","Intelligence Analysis","Male","65+","40","30","[c]","[c]"
"In post","2021","Intelligence Analysis","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","20-29","30","30","[c]","[c]"
"In post","2021","Internal Audit","Female","30-39","80","80","40620","39200"
"In post","2021","Internal Audit","Female","40-49","100","90","45590","42840"
"In post","2021","Internal Audit","Female","50-59","160","150","46740","43120"
"In post","2021","Internal Audit","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","30-39","60","60","44680","40580"
"In post","2021","Internal Audit","Male","40-49","90","80","49290","48780"
"In post","2021","Internal Audit","Male","50-59","160","160","50430","47240"
"In post","2021","Internal Audit","Male","60-64","40","30","[c]","[c]"
"In post","2021","Internal Audit","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Female","20-29","230","220","37840","35430"
"In post","2021","International Trade","Female","30-39","190","190","49680","51970"
"In post","2021","International Trade","Female","40-49","120","110","50160","51970"
"In post","2021","International Trade","Female","50-59","100","100","50450","46010"
"In post","2021","International Trade","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Male","20-29","240","230","37570","34240"
"In post","2021","International Trade","Male","30-39","250","250","49430","51970"
"In post","2021","International Trade","Male","40-49","140","140","53400","52400"
"In post","2021","International Trade","Male","50-59","160","160","51900","48220"
"In post","2021","International Trade","Male","60-64","30","30","[c]","[c]"
"In post","2021","International Trade","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Female","20-29","150","150","28230","26920"
"In post","2021","Knowledge and Information Management","Female","30-39","250","230","35520","33300"
"In post","2021","Knowledge and Information Management","Female","40-49","330","310","39140","37340"
"In post","2021","Knowledge and Information Management","Female","50-59","420","390","36300","33300"
"In post","2021","Knowledge and Information Management","Female","60-64","110","90","32820","27570"
"In post","2021","Knowledge and Information Management","Female","65+","40","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","20-29","140","140","28200","28000"
"In post","2021","Knowledge and Information Management","Male","30-39","230","230","37840","36360"
"In post","2021","Knowledge and Information Management","Male","40-49","270","270","41360","37840"
"In post","2021","Knowledge and Information Management","Male","50-59","350","340","40390","37410"
"In post","2021","Knowledge and Information Management","Male","60-64","80","80","38240","35790"
"In post","2021","Knowledge and Information Management","Male","65+","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","20-29","730","730","34170","30850"
"In post","2021","Legal","Female","30-39","1830","1720","47440","51120"
"In post","2021","Legal","Female","40-49","2170","1920","51910","52490"
"In post","2021","Legal","Female","50-59","1900","1720","51400","52490"
"In post","2021","Legal","Female","60-64","330","270","51410","54080"
"In post","2021","Legal","Female","65+","70","50","48110","51950"
"In post","2021","Legal","Male","20-29","500","500","32690","29570"
"In post","2021","Legal","Male","30-39","1160","1150","44190","46080"
"In post","2021","Legal","Male","40-49","1320","1310","49070","50500"
"In post","2021","Legal","Male","50-59","1610","1580","51020","51120"
"In post","2021","Legal","Male","60-64","370","300","50840","52290"
"In post","2021","Legal","Male","65+","150","110","52890","55610"
"In post","2021","Medicine","Female","20-29","120","110","29110","27420"
"In post","2021","Medicine","Female","30-39","430","380","41000","37410"
"In post","2021","Medicine","Female","40-49","520","450","53590","44500"
"In post","2021","Medicine","Female","50-59","500","450","61950","45750"
"In post","2021","Medicine","Female","60-64","140","120","59760","37890"
"In post","2021","Medicine","Female","65+","40","30","[c]","[c]"
"In post","2021","Medicine","Male","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Male","30-39","140","130","50300","40890"
"In post","2021","Medicine","Male","40-49","210","200","63890","60830"
"In post","2021","Medicine","Male","50-59","250","230","72160","73760"
"In post","2021","Medicine","Male","60-64","90","80","81130","80570"
"In post","2021","Medicine","Male","65+","50","40","[c]","[c]"
"In post","2021","Operational Delivery","Female","16-19","260","240","21200","21050"
"In post","2021","Operational Delivery","Female","20-29","15800","15340","25150","23970"
"In post","2021","Operational Delivery","Female","30-39","20410","18230","27740","25560"
"In post","2021","Operational Delivery","Female","40-49","22240","19680","29450","25990"
"In post","2021","Operational Delivery","Female","50-59","27800","24850","28410","25560"
"In post","2021","Operational Delivery","Female","60-64","8040","6260","25730","22430"
"In post","2021","Operational Delivery","Female","65+","2350","1690","24960","22350"
"In post","2021","Operational Delivery","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","16-19","160","150","21210","20960"
"In post","2021","Operational Delivery","Male","20-29","11810","11670","25370","24880"
"In post","2021","Operational Delivery","Male","30-39","17170","16960","28580","26300"
"In post","2021","Operational Delivery","Male","40-49","17360","17060","31230","28410"
"In post","2021","Operational Delivery","Male","50-59","23650","22660","32470","30830"
"In post","2021","Operational Delivery","Male","60-64","6640","5420","30050","27380"
"In post","2021","Operational Delivery","Male","65+","2410","1800","28090","25800"
"In post","2021","Operational Delivery","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","30-39","[c]","[c]","[c]","[c]"
