"Status","Year","Profession_of_post","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Crown Commercial Service","250","240","34760","34800"
"In post","2021","Commercial","Heterosexual / straight","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Defence Equipment and Support","710","680","39480","35300"
"In post","2021","Commercial","Heterosexual / straight","Defence Science and Technology Laboratory","60","60","33660","35520"
"In post","2021","Commercial","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Department for Education (excl. agencies)","150","150","40460","38000"
"In post","2021","Commercial","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","110","100","38970","36970"
"In post","2021","Commercial","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Department for Transport (excl. agencies)","60","60","52370","54110"
