"Status","Year","Region_ITL1","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Ministry of Justice","70","70","42150","38510"
"In post","2021","East Midlands (England)","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Department for Transport","40","40","[c]","[c]"
