"Status","Year","Region_ITL1","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","White","110","110","45010","43130"
"In post","2021","East Midlands (England)","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","White","80","80","37230","36530"
"In post","2021","East Midlands (England)","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Unknown","50","50","36540","31830"
"In post","2021","East Midlands (England)","Digital, Data and Technology","White","190","190","36900","34110"
"In post","2021","East Midlands (England)","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","White","150","140","35120","31810"
"In post","2021","East Midlands (England)","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Unknown","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","White","290","270","38290","33840"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","White","70","60","64450","64500"
"In post","2021","East Midlands (England)","Intelligence Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","White","100","100","29710","27380"
"In post","2021","East Midlands (England)","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","White","60","50","35530","33350"
"In post","2021","East Midlands (England)","Legal","Asian","50","50","43450","47360"
"In post","2021","East Midlands (England)","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Unknown","70","60","36710","31810"
"In post","2021","East Midlands (England)","Legal","White","340","310","43440","43310"
"In post","2021","East Midlands (England)","Medicine","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","Unknown","40","30","[c]","[c]"
