"Status","Year","Region_ITL1","Region_ITL2","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","16-19","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","20-29","1860","1820","25940","25560"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","30-39","2470","2310","29940","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","40-49","2920","2710","32760","28430"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","50-59","3880","3610","33020","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","60-64","890","710","30120","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","65+","240","170","30070","26780"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","20-29","870","850","23930","22920"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","30-39","1320","1220","27110","26220"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","40-49","1480","1350","28930","27380"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","50-59","1890","1740","28510","27380"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","60-64","540","450","26320","24380"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","65+","130","90","26140","21710"
"In post","2021","East Midlands (England)","Lincolnshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","20-29","280","280","25570","26300"
"In post","2021","East Midlands (England)","Lincolnshire","30-39","450","430","27710","26670"
"In post","2021","East Midlands (England)","Lincolnshire","40-49","580","550","28950","27380"
"In post","2021","East Midlands (England)","Lincolnshire","50-59","1080","1030","28930","27570"
"In post","2021","East Midlands (England)","Lincolnshire","60-64","340","300","27520","25610"
"In post","2021","East Midlands (England)","Lincolnshire","65+","100","80","25830","22080"
"In post","2021","East of England","Bedfordshire and Hertfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","20-29","700","690","28360","27850"
"In post","2021","East of England","Bedfordshire and Hertfordshire","30-39","900","860","32570","30160"
"In post","2021","East of England","Bedfordshire and Hertfordshire","40-49","1020","950","34510","30210"
"In post","2021","East of England","Bedfordshire and Hertfordshire","50-59","1370","1280","33680","29920"
"In post","2021","East of England","Bedfordshire and Hertfordshire","60-64","410","360","31150","29050"
"In post","2021","East of England","Bedfordshire and Hertfordshire","65+","130","100","30340","29050"
"In post","2021","East of England","East Anglia","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","20-29","1500","1470","25670","25480"
"In post","2021","East of England","East Anglia","30-39","2300","2150","29620","27570"
"In post","2021","East of England","East Anglia","40-49","2950","2740","31490","27570"
"In post","2021","East of England","East Anglia","50-59","4120","3910","31500","27570"
"In post","2021","East of England","East Anglia","60-64","1170","1010","29320","27080"
"In post","2021","East of England","East Anglia","65+","380","290","28620","26120"
"In post","2021","East of England","Essex","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","20-29","670","660","26630","25560"
"In post","2021","East of England","Essex","30-39","860","800","29750","29290"
"In post","2021","East of England","Essex","40-49","1320","1220","31370","29290"
"In post","2021","East of England","Essex","50-59","2020","1870","32660","29290"
"In post","2021","East of England","Essex","60-64","530","440","30440","29050"
"In post","2021","East of England","Essex","65+","180","130","27810","26780"
"In post","2021","East of England","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - East","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - East","20-29","3040","3010","33420","31060"
"In post","2021","London","Inner London - East","30-39","4030","3880","43060","38650"
"In post","2021","London","Inner London - East","40-49","4000","3770","45980","40450"
"In post","2021","London","Inner London - East","50-59","4530","4350","43770","36340"
"In post","2021","London","Inner London - East","60-64","1100","970","42050","35310"
"In post","2021","London","Inner London - East","65+","470","380","39900","31880"
"In post","2021","London","Inner London - West","16-19","100","100","25670","25170"
"In post","2021","London","Inner London - West","20-29","16490","16420","37380","34260"
"In post","2021","London","Inner London - West","30-39","15850","15450","49440","51970"
"In post","2021","London","Inner London - West","40-49","12950","12370","53850","53760"
"In post","2021","London","Inner London - West","50-59","12280","11980","50310","44030"
"In post","2021","London","Inner London - West","60-64","2600","2400","46230","39800"
"In post","2021","London","Inner London - West","65+","860","750","42830","35870"
"In post","2021","London","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","20-29","680","670","29280","31060"
"In post","2021","London","Outer London - East and North East","30-39","720","690","31110","31060"
"In post","2021","London","Outer London - East and North East","40-49","760","710","30960","31060"
"In post","2021","London","Outer London - East and North East","50-59","1180","1110","31320","31060"
"In post","2021","London","Outer London - East and North East","60-64","300","240","30280","30780"
"In post","2021","London","Outer London - East and North East","65+","130","100","28540","25110"
"In post","2021","London","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - South","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - South","20-29","1400","1390","32130","29570"
"In post","2021","London","Outer London - South","30-39","1950","1860","37970","35070"
"In post","2021","London","Outer London - South","40-49","2540","2410","40180","35310"
"In post","2021","London","Outer London - South","50-59","3600","3450","38680","35050"
"In post","2021","London","Outer London - South","60-64","860","760","35630","31060"
"In post","2021","London","Outer London - South","65+","380","310","31060","28840"
"In post","2021","London","Outer London - West and North West","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - West and North West","20-29","1390","1370","29670","29250"
"In post","2021","London","Outer London - West and North West","30-39","1760","1690","32760","31060"
