"Status","Year","Region_ITL1","Region_ITL2","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Attorney General's Departments","270","260","37450","30370"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Department for Business, Energy and Industrial Strategy","190","170","31230","30950"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Department for Education","290","280","41750","37100"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Department for Environment, Food and Rural Affairs","160","150","32770","29190"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Department for Transport","440","420","35050","31380"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Department for Work and Pensions","2690","2390","28460","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Department of Health and Social Care","170","160","43750","36330"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","HM Land Registry","560","510","31980","27130"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","HM Revenue and Customs","3480","3270","32740","31810"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Ministry of Defence","250","240","29430","26350"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Ministry of Housing, Communities and Local Government","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Ministry of Justice","3460","3210","27300","24610"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","National Crime Agency","70","60","37210","36410"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Office for Standards in Education","170","160","44560","39850"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Attorney General's Departments","160","140","39390","38470"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Department for Transport","170","160","31390","27250"
