"Status","Year","Region_ITL1","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Counter Fraud","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Debt","210","190","20360","20140"
"In post","2021","East Midlands (England)","AA/AO","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Finance","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Human Resources","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Legal","130","120","21240","21950"
"In post","2021","East Midlands (England)","AA/AO","No function","4990","4580","22760","21440"
"In post","2021","East Midlands (England)","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Property","140","130","19200","18760"
"In post","2021","East Midlands (England)","AA/AO","Security","110","110","25720","21130"
"In post","2021","East Midlands (England)","AA/AO","Unknown","2190","1920","20790","21010"
"In post","2021","East Midlands (England)","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Commercial","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Communications","280","280","25620","25560"
"In post","2021","East Midlands (England)","EO","Counter Fraud","180","170","26050","25560"
"In post","2021","East Midlands (England)","EO","Debt","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Digital, Data & Technology","70","60","26870","26670"
"In post","2021","East Midlands (England)","EO","Finance","50","50","25600","25560"
"In post","2021","East Midlands (England)","EO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Human Resources","100","100","26320","26670"
"In post","2021","East Midlands (England)","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Legal","120","110","26510","27130"
"In post","2021","East Midlands (England)","EO","No function","2080","1930","26910","26780"
"In post","2021","East Midlands (England)","EO","Project Delivery","90","90","26380","26670"
"In post","2021","East Midlands (England)","EO","Property","90","80","26400","26350"
"In post","2021","East Midlands (England)","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Unknown","2910","2650","27460","27570"
"In post","2021","East Midlands (England)","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Commercial","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Counter Fraud","70","70","55920","52580"
"In post","2021","East Midlands (England)","G6/G7","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Finance","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Human Resources","100","90","56140","52580"
"In post","2021","East Midlands (England)","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Legal","220","200","54670","55610"
"In post","2021","East Midlands (England)","G6/G7","No function","590","560","59250","53430"
"In post","2021","East Midlands (England)","G6/G7","Project Delivery","120","120","54320","52580"
"In post","2021","East Midlands (England)","G6/G7","Property","70","70","55250","54970"
"In post","2021","East Midlands (England)","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Unknown","80","80","63170","58630"
"In post","2021","East Midlands (England)","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","No function","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Analysis","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Commercial","70","70","40260","39620"
"In post","2021","East Midlands (England)","SEO/HEO","Communications","190","180","33420","31810"
"In post","2021","East Midlands (England)","SEO/HEO","Counter Fraud","250","240","34300","31870"
"In post","2021","East Midlands (England)","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Digital, Data & Technology","170","160","37670","36740"
"In post","2021","East Midlands (England)","SEO/HEO","Finance","100","90","35490","33310"
"In post","2021","East Midlands (England)","SEO/HEO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Human Resources","260","240","35090","33300"
"In post","2021","East Midlands (England)","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Legal","140","130","36040","34480"
"In post","2021","East Midlands (England)","SEO/HEO","No function","2320","2190","36210","34000"
"In post","2021","East Midlands (England)","SEO/HEO","Project Delivery","400","380","35690","35000"
"In post","2021","East Midlands (England)","SEO/HEO","Property","190","190","36720","36180"
"In post","2021","East Midlands (England)","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Unknown","560","530","34820","33300"
"In post","2021","East Midlands (England)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","No function","960","880","29380","28200"
"In post","2021","East Midlands (England)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Analysis","30","30","[c]","[c]"
"In post","2021","East of England","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Counter Fraud","130","110","20750","20140"
"In post","2021","East of England","AA/AO","Debt","80","70","21850","21440"
"In post","2021","East of England","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Finance","110","90","20890","20920"
"In post","2021","East of England","AA/AO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Human Resources","30","30","[c]","[c]"
"In post","2021","East of England","AA/AO","Legal","110","100","22440","23520"
"In post","2021","East of England","AA/AO","No function","4160","3870","24910","23240"
"In post","2021","East of England","AA/AO","Project Delivery","30","30","[c]","[c]"
"In post","2021","East of England","AA/AO","Property","120","110","19490","19850"
"In post","2021","East of England","AA/AO","Security","350","350","27310","22650"
"In post","2021","East of England","AA/AO","Unknown","2600","2320","21740","21430"
"In post","2021","East of England","EO","Analysis","60","50","25090","24920"
"In post","2021","East of England","EO","Commercial","50","50","26520","26670"
"In post","2021","East of England","EO","Communications","30","30","[c]","[c]"
"In post","2021","East of England","EO","Counter Fraud","160","140","26460","25560"
"In post","2021","East of England","EO","Debt","50","50","28110","28130"
"In post","2021","East of England","EO","Digital, Data & Technology","110","110","26540","26200"
"In post","2021","East of England","EO","Finance","100","100","27230","26670"
"In post","2021","East of England","EO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Human Resources","50","50","27630","26850"
"In post","2021","East of England","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Legal","110","100","28520","28430"
"In post","2021","East of England","EO","No function","1500","1410","28520","27130"
"In post","2021","East of England","EO","Project Delivery","120","110","26820","26670"
"In post","2021","East of England","EO","Property","120","120","26400","26500"
"In post","2021","East of England","EO","Security","90","90","37240","42660"
"In post","2021","East of England","EO","Unknown","4590","4170","28270","27570"
"In post","2021","East of England","G6/G7","Analysis","80","80","52100","48080"
"In post","2021","East of England","G6/G7","Commercial","70","70","59650","56190"
"In post","2021","East of England","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Digital, Data & Technology","70","70","54340","52580"
"In post","2021","East of England","G6/G7","Finance","70","60","56140","54390"
"In post","2021","East of England","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Legal","210","190","58820","59930"
"In post","2021","East of England","G6/G7","No function","360","350","61670","57830"
"In post","2021","East of England","G6/G7","Project Delivery","140","140","56200","54540"
"In post","2021","East of England","G6/G7","Property","40","40","[c]","[c]"
"In post","2021","East of England","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Unknown","230","220","61550","55580"
"In post","2021","East of England","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","No function","60","50","106740","104550"
"In post","2021","East of England","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Analysis","220","200","33220","31810"
"In post","2021","East of England","SEO/HEO","Commercial","220","210","37710","36970"
"In post","2021","East of England","SEO/HEO","Communications","40","40","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Counter Fraud","150","140","34250","32100"
"In post","2021","East of England","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Digital, Data & Technology","320","310","35520","34800"
"In post","2021","East of England","SEO/HEO","Finance","200","190","37400","37000"
