"Status","Year","Region_ITL1","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","AA/AO","Female","4480","3880","21280","21010"
"In post","2021","East Midlands (England)","AA/AO","Male","3520","3380","23070","21130"
"In post","2021","East Midlands (England)","EO","Female","3500","3120","26800","27570"
"In post","2021","East Midlands (England)","EO","Male","2620","2530","27370","27570"
"In post","2021","East Midlands (England)","G6/G7","Female","710","660","56460","53170"
"In post","2021","East Midlands (England)","G6/G7","Male","710","690","58520","53480"
"In post","2021","East Midlands (England)","SCS","Female","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Male","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Female","2510","2340","35460","33840"
"In post","2021","East Midlands (England)","SEO/HEO","Male","2240","2170","36300","34400"
"In post","2021","East Midlands (England)","Unknown","Female","780","700","29210","28200"
"In post","2021","East Midlands (England)","Unknown","Male","220","210","32340","32220"
"In post","2021","East of England","AA/AO","Female","4170","3660","22370","21430"
"In post","2021","East of England","AA/AO","Male","3660","3530","25020","22850"
"In post","2021","East of England","EO","Female","4040","3610","27950","27570"
"In post","2021","East of England","EO","Male","3140","2990","28600","27570"
"In post","2021","East of England","G6/G7","Female","650","610","58270","54770"
"In post","2021","East of England","G6/G7","Male","690","670","59700","56020"
"In post","2021","East of England","SCS","Female","50","50","[c]","[c]"
"In post","2021","East of England","SCS","Male","80","70","94530","92370"
"In post","2021","East of England","SEO/HEO","Female","2460","2290","36290","35120"
"In post","2021","East of England","SEO/HEO","Male","2640","2550","37160","35640"
"In post","2021","East of England","Unknown","Female","810","730","28320","28200"
"In post","2021","East of England","Unknown","Male","220","210","30060","28200"
"In post","2021","London","AA/AO","Female","7180","6450","24840","24590"
"In post","2021","London","AA/AO","Male","5530","5370","26470","25110"
"In post","2021","London","EO","Female","12670","11830","29880","30110"
"In post","2021","London","EO","Male","8630","8370","30140","30110"
"In post","2021","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","G6/G7","Female","13990","13270","59940","58010"
"In post","2021","London","G6/G7","Male","13650","13440","61110","59160"
"In post","2021","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","SCS","Female","2260","2130","88420","80000"
"In post","2021","London","SCS","Male","2430","2390","93270","83880"
"In post","2021","London","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","SEO/HEO","Female","17960","17370","37940","36980"
