"Status","Year","Region_ITL2","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Asian","Female","340","300","30220","27570"
"In post","2021","Bedfordshire and Hertfordshire","Asian","Male","200","200","31730","29290"
"In post","2021","Bedfordshire and Hertfordshire","Black","Female","150","140","30430","29290"
"In post","2021","Bedfordshire and Hertfordshire","Black","Male","80","80","32090","30270"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","Female","90","80","31240","29290"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","Male","50","50","32770","29290"
"In post","2021","Bedfordshire and Hertfordshire","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Female","90","80","30070","29290"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Male","120","110","34730","31760"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Female","220","200","29050","27850"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Male","190","190","30850","28800"
"In post","2021","Bedfordshire and Hertfordshire","White","Female","1660","1510","32030","29290"
"In post","2021","Bedfordshire and Hertfordshire","White","Male","1290","1250","34610","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Female","350","310","30140","27990"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Male","250","240","31390","28700"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Female","170","160","29620","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Male","110","110","31590","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Female","90","80","30200","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Male","90","90","34330","30430"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Female","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Male","[c]","[c]","[c]","[c]"
