"Status","Year","Region_ITL2","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","East of England","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Debt","East of England","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","East of England","80","80","36050","34820"
"In post","2021","Bedfordshire and Hertfordshire","Finance","East of England","100","100","43580","37640"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","East of England","50","50","36520","31780"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","East of England","200","180","42770","40000"
"In post","2021","Bedfordshire and Hertfordshire","No function","East of England","1630","1540","29910","28200"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","East of England","200","190","40080","37640"
"In post","2021","Bedfordshire and Hertfordshire","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","East of England","80","80","25590","22650"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","East of England","2040","1890","32130","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","South East (England)","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","South East (England)","210","210","40740","36800"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","South East (England)","100","100","32930","31200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","South East (England)","90","80","31920","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Debt","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","South East (England)","260","250","41720","39650"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","South East (England)","300","290","38650","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","South East (England)","160","150","28760","25190"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","South East (England)","130","120","39040","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","South East (England)","230","200","45610","47360"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","South East (England)","3750","3540","31670","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","South East (England)","500","480","39500","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","South East (England)","360","350","34050","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","South East (England)","1080","1060","34000","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","South East (England)","2360","2220","28930","27570"
"In post","2021","Cheshire","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","North West (England)","140","130","41990","41700"
"In post","2021","Cheshire","Finance","North West (England)","30","30","[c]","[c]"
"In post","2021","Cheshire","Grants Management","North West (England)","100","90","24740","24920"
"In post","2021","Cheshire","Human Resources","North West (England)","70","60","42030","40080"
"In post","2021","Cheshire","Internal Audit","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","North West (England)","50","40","[c]","[c]"
"In post","2021","Cheshire","No function","North West (England)","2410","2310","32220","31650"
"In post","2021","Cheshire","Project Delivery","North West (England)","50","50","37710","36460"
"In post","2021","Cheshire","Property","North West (England)","30","30","[c]","[c]"
"In post","2021","Cheshire","Security","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","North West (England)","980","890","25520","27570"
"In post","2021","Cornwall and Isles of Scilly","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Grants Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","South West (England)","30","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","No function","South West (England)","260","230","29180","26700"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","South West (England)","60","50","28850","26430"
"In post","2021","Cornwall and Isles of Scilly","Security","South West (England)","50","50","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","South West (England)","1170","1060","25420","26670"
"In post","2021","Cumbria","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Communications","North West (England)","70","60","28090","25880"
"In post","2021","Cumbria","Digital, Data & Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Grants Management","North West (England)","650","570","24000","21050"
"In post","2021","Cumbria","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Legal","North West (England)","50","40","[c]","[c]"
"In post","2021","Cumbria","No function","North West (England)","610","560","27700","24920"
"In post","2021","Cumbria","Project Delivery","North West (England)","280","270","35460","33170"
"In post","2021","Cumbria","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Security","North West (England)","90","90","27810","23540"
"In post","2021","Cumbria","Unknown","North West (England)","280","240","26440","27570"
"In post","2021","Derbyshire and Nottinghamshire","Analysis","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Commercial","East Midlands (England)","110","100","41270","39210"
"In post","2021","Derbyshire and Nottinghamshire","Communications","East Midlands (England)","490","470","29530","25560"
"In post","2021","Derbyshire and Nottinghamshire","Counter Fraud","East Midlands (England)","520","490","33460","31810"
"In post","2021","Derbyshire and Nottinghamshire","Debt","East Midlands (England)","250","220","21470","20140"
"In post","2021","Derbyshire and Nottinghamshire","Digital, Data & Technology","East Midlands (England)","200","200","39510","36410"
"In post","2021","Derbyshire and Nottinghamshire","Finance","East Midlands (England)","190","180","37680","32650"
"In post","2021","Derbyshire and Nottinghamshire","Grants Management","East Midlands (England)","60","60","25370","25100"
"In post","2021","Derbyshire and Nottinghamshire","Human Resources","East Midlands (England)","440","410","37660","32100"
"In post","2021","Derbyshire and Nottinghamshire","Internal Audit","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Legal","East Midlands (England)","410","370","36710","31810"
"In post","2021","Derbyshire and Nottinghamshire","No function","East Midlands (England)","6420","5970","30670","27130"
"In post","2021","Derbyshire and Nottinghamshire","Project Delivery","East Midlands (England)","300","280","42280","38630"
"In post","2021","Derbyshire and Nottinghamshire","Property","East Midlands (England)","330","310","37260","33300"
"In post","2021","Derbyshire and Nottinghamshire","Security","East Midlands (England)","80","80","33610","33200"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","East Midlands (England)","2440","2170","26260","27570"
"In post","2021","Devon","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Commercial","South West (England)","220","220","42850","39830"
"In post","2021","Devon","Communications","South West (England)","60","60","33280","32640"
"In post","2021","Devon","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Debt","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Digital, Data & Technology","South West (England)","1380","1310","39410","38450"
"In post","2021","Devon","Finance","South West (England)","90","80","42450","39650"
"In post","2021","Devon","Grants Management","South West (England)","180","170","26610","25190"
"In post","2021","Devon","Human Resources","South West (England)","110","100","36610","32940"
"In post","2021","Devon","Internal Audit","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Legal","South West (England)","130","130","41670","39650"
"In post","2021","Devon","No function","South West (England)","2420","2230","29680","26810"
"In post","2021","Devon","Project Delivery","South West (England)","660","640","37990","38550"
"In post","2021","Devon","Property","South West (England)","530","490","27890","24500"
"In post","2021","Devon","Security","South West (England)","430","420","26990","20920"
"In post","2021","Devon","Unknown","South West (England)","2770","2420","26510","26670"
"In post","2021","Dorset and Somerset","Analysis","South West (England)","120","110","32950","29270"
"In post","2021","Dorset and Somerset","Commercial","South West (England)","70","60","40610","35900"
"In post","2021","Dorset and Somerset","Communications","South West (England)","50","50","[c]","[c]"
"In post","2021","Dorset and Somerset","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Digital, Data & Technology","South West (England)","230","230","38130","35340"
"In post","2021","Dorset and Somerset","Finance","South West (England)","40","30","[c]","[c]"
"In post","2021","Dorset and Somerset","Grants Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Human Resources","South West (England)","50","50","34910","32810"
"In post","2021","Dorset and Somerset","Internal Audit","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Legal","South West (England)","30","30","[c]","[c]"
"In post","2021","Dorset and Somerset","No function","South West (England)","2240","2070","28790","27130"
"In post","2021","Dorset and Somerset","Project Delivery","South West (England)","450","430","34230","33500"
"In post","2021","Dorset and Somerset","Property","South West (England)","80","80","30770","30630"
"In post","2021","Dorset and Somerset","Security","South West (England)","150","140","24050","20060"
"In post","2021","Dorset and Somerset","Unknown","South West (England)","1680","1530","27420","27570"
"In post","2021","East Anglia","Analysis","East of England","360","340","34490","30220"
"In post","2021","East Anglia","Commercial","East of England","350","340","41120","37280"
"In post","2021","East Anglia","Communications","East of England","50","50","32880","30660"
"In post","2021","East Anglia","Counter Fraud","East of England","380","350","28070","25560"
"In post","2021","East Anglia","Debt","East of England","50","40","[c]","[c]"
"In post","2021","East Anglia","Digital, Data & Technology","East of England","170","160","33990","31500"
"In post","2021","East Anglia","Finance","East of England","150","140","35180","31240"
"In post","2021","East Anglia","Grants Management","East of England","50","40","[c]","[c]"
"In post","2021","East Anglia","Human Resources","East of England","130","120","35430","31400"
"In post","2021","East Anglia","Internal Audit","East of England","[c]","[c]","[c]","[c]"
