"Status","Year","Region_ITL2","Responsibility_level","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","20-29","290","290","26030","27850"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","30-39","240","230","25200","23520"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","40-49","210","190","24450","22850"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","50-59","330","310","23630","22430"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","60-64","130","120","22150","21590"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","65+","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","20-29","220","210","28470","28000"
"In post","2021","Bedfordshire and Hertfordshire","EO","30-39","270","260","28760","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","40-49","370","350","28890","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","50-59","540","490","29310","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","60-64","150","130","29460","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","65+","50","40","29540","29530"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","30-39","80","70","56120","54340"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","40-49","110","100","59660","59730"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","50-59","110","110","63820","62140"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","20-29","110","100","36450","37000"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","30-39","230","220","37840","37640"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","40-49","260","250","39590","38620"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","50-59","320","320","39040","37890"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","60-64","70","70","38700","37910"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","20-29","80","70","23530","22920"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","30-39","90","80","29330","30210"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","40-49","60","50","28710","24940"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","50-59","50","50","30940","28200"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","20-29","790","790","25940","26610"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","30-39","710","690","27140","25840"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","40-49","670","630","26230","22920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","50-59","920","880","24940","22020"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","60-64","320","280","23340","21270"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","65+","150","130","22040","21560"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","20-29","370","370","28040","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","30-39","450","430","29720","27810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","40-49","530","500","29530","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","50-59","760","730","29700","28640"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","60-64","230","200","28830","28350"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","65+","70","60","28160","27670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","30-39","120","120","56200","54540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","40-49","230","220","60890","57790"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","50-59","290","270","60960","59090"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","60-64","70","60","59970","58030"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","65+","40","20","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","20-29","170","170","34590","33390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","30-39","440","420","37300","36730"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","40-49","550","530","38160","36970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","50-59","850","820","39240","38160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","60-64","210","190","39250","37890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","65+","80","60","38540","38160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","20-29","140","130","24100","24020"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","30-39","110","100","30540","32650"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","40-49","90","90","33190","37170"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","50-59","100","100","33000","33890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","20-29","260","250","22700","21300"
"In post","2021","Cheshire","AA/AO","30-39","220","210","23460","22600"
"In post","2021","Cheshire","AA/AO","40-49","220","200","23790","21050"
"In post","2021","Cheshire","AA/AO","50-59","360","320","23150","21010"
"In post","2021","Cheshire","AA/AO","60-64","120","100","22570","21010"
"In post","2021","Cheshire","AA/AO","65+","30","20","[c]","[c]"
"In post","2021","Cheshire","EO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","20-29","300","300","29270","28840"
"In post","2021","Cheshire","EO","30-39","340","330","30160","28840"
"In post","2021","Cheshire","EO","40-49","290","280","29800","27570"
"In post","2021","Cheshire","EO","50-59","410","380","29170","27570"
"In post","2021","Cheshire","EO","60-64","80","60","29230","27570"
"In post","2021","Cheshire","EO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","30-39","30","30","[c]","[c]"
"In post","2021","Cheshire","G6/G7","40-49","70","70","56180","53250"
"In post","2021","Cheshire","G6/G7","50-59","90","90","59120","57400"
"In post","2021","Cheshire","G6/G7","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","20-29","50","50","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","30-39","200","200","38080","36970"
"In post","2021","Cheshire","SEO/HEO","40-49","250","240","40180","39470"
"In post","2021","Cheshire","SEO/HEO","50-59","280","270","40640","40210"
"In post","2021","Cheshire","SEO/HEO","60-64","60","50","38810","36710"
"In post","2021","Cheshire","SEO/HEO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","30-39","50","40","[c]","[c]"
"In post","2021","Cheshire","Unknown","40-49","50","50","[c]","[c]"
"In post","2021","Cheshire","Unknown","50-59","50","50","30170","29150"
