"Status","Year","Region_ITL2","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Bedford","290","280","25890","25840"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Central Bedfordshire","140","140","20780","20920"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Hertfordshire","700","650","25330","24240"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Luton","140","120","20370","20650"
"In post","2021","Bedfordshire and Hertfordshire","EO","Bedford","280","260","27760","27570"
"In post","2021","Bedfordshire and Hertfordshire","EO","Central Bedfordshire","130","120","28060","27390"
"In post","2021","Bedfordshire and Hertfordshire","EO","Hertfordshire","920","860","29990","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Luton","280","240","27590","27570"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Hertfordshire","280","270","60300","59730"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Bedford","160","160","38070","36950"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Central Bedfordshire","140","140","37110","36300"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Hertfordshire","660","640","39440","38510"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Luton","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Bedford","70","60","27390","23840"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Hertfordshire","140","130","29320","28200"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Luton","90","80","26140","22920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Berkshire","1000","960","27560","25540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Buckinghamshire CC","570","540","25280","23130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Milton Keynes","870","840","25210","24380"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Oxfordshire","1150","1080","24240","21500"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Berkshire","800","750","30940","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Buckinghamshire CC","490","470","28760","28350"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Milton Keynes","570","550","28320","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Oxfordshire","560","530","28350","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Berkshire","290","280","56950","54540"
