"Status","Year","Region_ITL2","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Crown Prosecution Service","120","100","38990","30110"
"In post","2021","Bedfordshire and Hertfordshire","Female","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Department for Work and Pensions (excl. agencies)","750","660","28760","29290"
"In post","2021","Bedfordshire and Hertfordshire","Female","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","HM Courts and Tribunals Service","260","220","23720","21300"
"In post","2021","Bedfordshire and Hertfordshire","Female","HM Prison and Probation Service","550","510","28420","27850"
"In post","2021","Bedfordshire and Hertfordshire","Female","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Home Office (incl. agencies)","110","100","28400","26070"
"In post","2021","Bedfordshire and Hertfordshire","Female","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Medicines and Healthcare Products Regulatory Agency","180","170","43800","41010"
"In post","2021","Bedfordshire and Hertfordshire","Female","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Ministry of Defence (excl. agencies)","350","340","35490","30750"
"In post","2021","Bedfordshire and Hertfordshire","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","National Crime Agency","50","50","35870","35910"
"In post","2021","Bedfordshire and Hertfordshire","Female","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Crown Prosecution Service","60","60","49620","51120"
"In post","2021","Bedfordshire and Hertfordshire","Male","Defence Equipment and Support","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Department for Work and Pensions (excl. agencies)","360","350","28850","29290"
"In post","2021","Bedfordshire and Hertfordshire","Male","Driver and Vehicle Standards Agency","90","90","30390","30580"
"In post","2021","Bedfordshire and Hertfordshire","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","HM Courts and Tribunals Service","60","60","24090","21310"
"In post","2021","Bedfordshire and Hertfordshire","Male","HM Prison and Probation Service","460","450","31400","30400"
"In post","2021","Bedfordshire and Hertfordshire","Male","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Home Office (incl. agencies)","170","150","28950","27370"
"In post","2021","Bedfordshire and Hertfordshire","Male","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Medicines and Healthcare Products Regulatory Agency","140","140","44390","40850"
"In post","2021","Bedfordshire and Hertfordshire","Male","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Ministry of Defence (excl. agencies)","390","380","36340","35620"
"In post","2021","Bedfordshire and Hertfordshire","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","National Crime Agency","60","60","41860","41070"
"In post","2021","Bedfordshire and Hertfordshire","Male","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Cabinet Office (excl. agencies)","60","60","33420","33000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Crown Prosecution Service","100","90","41740","36240"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Defence Equipment and Support","50","50","30910","28530"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","90","90","39820","36750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Department for Work and Pensions (excl. agencies)","800","710","28410","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","FCDO Services","260","240","37330","31390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Foreign, Commonwealth and Development Office (excl. agencies)","170","160","29130","26250"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","HM Courts and Tribunals Service","230","200","25220","22080"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","HM Prison and Probation Service","1100","1020","29180","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","HM Revenue and Customs (excl. agencies)","200","180","32360","29570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Ministry of Defence (excl. agencies)","1170","1110","31270","28000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","National Crime Agency","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Public Health England","230","200","41930","38580"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Rural Payments Agency","90","80","28200","24920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Cabinet Office (excl. agencies)","60","60","37790","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Crown Prosecution Service","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Defence Equipment and Support","80","80","39180","37260"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","100","100","41620","37410"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Department for International Trade","70","70","46270","51710"
