"Status","Year","Region_ITL2","Sexual_orientation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Female","1830","1680","31390","29290"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Male","1380","1340","33950","30830"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Female","90","90","30600","29290"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Male","60","60","31960","29290"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Female","220","200","32070","29290"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Male","200","190","34300","31810"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Female","440","390","31580","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Male","320","300","33330","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Female","3360","3110","31520","28350"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Male","3270","3210","34260","31800"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","Female","200","190","29260","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","Male","160","160","33330","29970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Female","440","400","31840","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Male","460","450","35010","33670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","800","710","31950","28990"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","920","900","34100","31280"
"In post","2021","Cheshire","Heterosexual / straight","Female","1540","1420","30450","27570"
"In post","2021","Cheshire","Heterosexual / straight","Male","1170","1140","33530","31650"
"In post","2021","Cheshire","LGBO","Female","120","110","30580","27570"
"In post","2021","Cheshire","LGBO","Male","70","70","30780","28200"
"In post","2021","Cheshire","Undeclared","Female","170","160","29920","28840"
"In post","2021","Cheshire","Undeclared","Male","150","140","32940","31650"
"In post","2021","Cheshire","Unknown","Female","360","320","27840","27470"
"In post","2021","Cheshire","Unknown","Male","330","310","31370","31650"
"In post","2021","Cornwall and Isles of Scilly","Heterosexual / straight","Female","630","550","26450","26670"
"In post","2021","Cornwall and Isles of Scilly","Heterosexual / straight","Male","500","480","27060","26670"
"In post","2021","Cornwall and Isles of Scilly","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Female","90","70","26350","26400"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Male","70","70","28530","26850"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Female","180","150","25400","21010"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Male","140","130","26680","26590"
"In post","2021","Cumbria","Heterosexual / straight","Female","750","650","27090","25150"
"In post","2021","Cumbria","Heterosexual / straight","Male","540","530","30980","27570"
"In post","2021","Cumbria","LGBO","Female","30","30","[c]","[c]"
"In post","2021","Cumbria","LGBO","Male","30","30","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Female","80","70","27870","25190"
"In post","2021","Cumbria","Undeclared","Male","100","90","32350","27570"
"In post","2021","Cumbria","Unknown","Female","380","320","25140","21050"
"In post","2021","Cumbria","Unknown","Male","230","220","26750","21550"
"In post","2021","Derbyshire and Nottinghamshire","Heterosexual / straight","Female","4540","4090","30700","27570"
"In post","2021","Derbyshire and Nottinghamshire","Heterosexual / straight","Male","3340","3220","32890","28130"
"In post","2021","Derbyshire and Nottinghamshire","LGBO","Female","270","260","30270","27570"
"In post","2021","Derbyshire and Nottinghamshire","LGBO","Male","210","210","30980","27570"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","Female","630","550","30330","27570"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","Male","500","470","33180","30950"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Female","1490","1330","28320","26700"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Male","1320","1260","29610","27150"
"In post","2021","Devon","Heterosexual / straight","Female","2480","2160","28270","27000"
"In post","2021","Devon","Heterosexual / straight","Male","2410","2320","30890","27570"
"In post","2021","Devon","LGBO","Female","140","130","26920","25930"
"In post","2021","Devon","LGBO","Male","120","120","27520","27130"
"In post","2021","Devon","Undeclared","Female","320","280","28810","26930"
"In post","2021","Devon","Undeclared","Male","360","340","32430","29730"
"In post","2021","Devon","Unknown","Female","1410","1230","31510","27570"
"In post","2021","Devon","Unknown","Male","1770","1710","36690","35030"
"In post","2021","Dorset and Somerset","Heterosexual / straight","Female","1740","1560","28260","27130"
"In post","2021","Dorset and Somerset","Heterosexual / straight","Male","1860","1800","30790","28400"
"In post","2021","Dorset and Somerset","LGBO","Female","90","90","28400","27470"
"In post","2021","Dorset and Somerset","LGBO","Male","80","80","28230","27570"
"In post","2021","Dorset and Somerset","Undeclared","Female","250","220","29110","27570"
"In post","2021","Dorset and Somerset","Undeclared","Male","310","300","31280","31430"
"In post","2021","Dorset and Somerset","Unknown","Female","430","360","28290","27540"
"In post","2021","Dorset and Somerset","Unknown","Male","460","440","31200","27620"
"In post","2021","East Anglia","Heterosexual / straight","Female","4520","4080","28940","27140"
"In post","2021","East Anglia","Heterosexual / straight","Male","4120","3990","31500","28400"
"In post","2021","East Anglia","LGBO","Female","200","190","27890","25880"
"In post","2021","East Anglia","LGBO","Male","190","180","28650","27570"
"In post","2021","East Anglia","Undeclared","Female","570","520","29300","27130"
"In post","2021","East Anglia","Undeclared","Male","650","620","31820","31170"
"In post","2021","East Anglia","Unknown","Female","1070","930","28980","27500"
"In post","2021","East Anglia","Unknown","Male","1130","1080","31100","28920"
"In post","2021","East Wales","Heterosexual / straight","Female","7470","6810","32560","28130"
"In post","2021","East Wales","Heterosexual / straight","Male","5760","5600","34750","29890"
"In post","2021","East Wales","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","LGBO","Female","390","380","30340","27570"
"In post","2021","East Wales","LGBO","Male","470","460","32940","28430"
"In post","2021","East Wales","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Undeclared","Female","790","710","32660","27570"
"In post","2021","East Wales","Undeclared","Male","960","920","34140","30020"
"In post","2021","East Wales","Unknown","Female","2330","2060","27700","25560"
"In post","2021","East Wales","Unknown","Male","2170","2100","31310","27570"
"In post","2021","East Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","Female","1600","1390","26890","26670"
"In post","2021","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","Male","1640","1570","29060","27130"
"In post","2021","East Yorkshire and Northern Lincolnshire","LGBO","Female","90","80","26670","25790"
"In post","2021","East Yorkshire and Northern Lincolnshire","LGBO","Male","80","70","27360","27130"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","Female","240","210","26900","27130"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","Male","260","240","30250","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","Female","400","350","25860","26120"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","Male","410","390","28330","27380"
"In post","2021","Eastern Scotland","Heterosexual / straight","Female","6210","5720","35110","29190"
"In post","2021","Eastern Scotland","Heterosexual / straight","Male","4780","4650","36650","32140"
"In post","2021","Eastern Scotland","LGBO","Female","350","340","32990","30080"
"In post","2021","Eastern Scotland","LGBO","Male","410","400","35430","30650"
"In post","2021","Eastern Scotland","Undeclared","Female","1170","1060","30560","27570"
"In post","2021","Eastern Scotland","Undeclared","Male","860","830","32850","29350"
"In post","2021","Eastern Scotland","Unknown","Female","2990","2710","31730","27570"
"In post","2021","Eastern Scotland","Unknown","Male","3080","2950","33380","30650"
"In post","2021","Essex","Heterosexual / straight","Female","2170","1950","29670","29290"
"In post","2021","Essex","Heterosexual / straight","Male","1600","1520","32610","29290"
"In post","2021","Essex","LGBO","Female","120","110","29710","29290"
"In post","2021","Essex","LGBO","Male","80","80","31270","29290"
"In post","2021","Essex","Undeclared","Female","310","270","28500","27370"
"In post","2021","Essex","Undeclared","Male","240","230","33440","29290"
"In post","2021","Essex","Unknown","Female","630","550","29980","27530"
"In post","2021","Essex","Unknown","Male","440","420","31190","29290"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","Female","10100","9310","34060","30990"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","Male","11300","11070","38880","36440"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","Female","490","470","31670","28300"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","Male","530","520","34680","31380"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","Female","1350","1230","35080","33280"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","Male","1750","1690","40560","39070"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","Female","1720","1530","33260","28550"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","Male","2080","2010","36700","32010"
"In post","2021","Greater Manchester","Heterosexual / straight","Female","7080","6500","31020","27570"
"In post","2021","Greater Manchester","Heterosexual / straight","Male","5410","5260","32460","27570"
"In post","2021","Greater Manchester","LGBO","Female","410","400","30560","27570"
"In post","2021","Greater Manchester","LGBO","Male","570","550","30970","27570"
"In post","2021","Greater Manchester","Undeclared","Female","870","780","29330","27300"
"In post","2021","Greater Manchester","Undeclared","Male","730","700","32930","28220"
"In post","2021","Greater Manchester","Unknown","Female","2390","2140","27930","25560"
"In post","2021","Greater Manchester","Unknown","Male","2250","2170","30370","27570"
"In post","2021","Hampshire and Isle of Wight","Heterosexual / straight","Female","5460","4890","30460","27570"
"In post","2021","Hampshire and Isle of Wight","Heterosexual / straight","Male","5410","5160","33840","30980"
"In post","2021","Hampshire and Isle of Wight","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","LGBO","Female","250","240","29050","27570"
"In post","2021","Hampshire and Isle of Wight","LGBO","Male","250","240","31530","27730"
"In post","2021","Hampshire and Isle of Wight","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","Undeclared","Female","690","620","30600","27570"
"In post","2021","Hampshire and Isle of Wight","Undeclared","Male","840","810","34890","33300"
"In post","2021","Hampshire and Isle of Wight","Unknown","Female","1190","1020","29720","26670"
"In post","2021","Hampshire and Isle of Wight","Unknown","Male","1250","1180","33860","29960"
"In post","2021","Hampshire and Isle of Wight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Heterosexual / straight","Female","1510","1370","27410","26120"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Heterosexual / straight","Male","1300","1270","29100","26830"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","LGBO","Female","90","90","28730","24440"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","LGBO","Male","60","50","28060","25660"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Undeclared","Female","190","170","26860","24440"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Undeclared","Male","170","170","30440","29730"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Unknown","Female","370","320","25970","24920"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Unknown","Male","310","300","28010","26350"
"In post","2021","Highlands and Islands","Heterosexual / straight","Female","640","580","27640","27570"
"In post","2021","Highlands and Islands","Heterosexual / straight","Male","490","480","29840","27570"
"In post","2021","Highlands and Islands","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Undeclared","Female","120","100","28050","27570"
"In post","2021","Highlands and Islands","Undeclared","Male","90","80","28970","26780"
"In post","2021","Highlands and Islands","Unknown","Female","230","210","28490","27570"
"In post","2021","Highlands and Islands","Unknown","Male","350","340","29950","28120"
"In post","2021","Inner London - East","Heterosexual / straight","Female","6270","5890","40530","34550"
"In post","2021","Inner London - East","Heterosexual / straight","Male","4610","4500","44490","38500"
"In post","2021","Inner London - East","LGBO","Female","340","330","38760","34550"
"In post","2021","Inner London - East","LGBO","Male","450","440","44830","37310"
"In post","2021","Inner London - East","Undeclared","Female","900","840","40570","34010"
"In post","2021","Inner London - East","Undeclared","Male","620","590","44640","39800"
"In post","2021","Inner London - East","Unknown","Female","2140","1960","39600","32260"
"In post","2021","Inner London - East","Unknown","Male","1880","1830","43650","36230"
"In post","2021","Inner London - West","Heterosexual / straight","Female","21400","20490","46350","41800"
"In post","2021","Inner London - West","Heterosexual / straight","Male","17760","17570","48840","44080"
"In post","2021","Inner London - West","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","LGBO","Female","1440","1410","44980","40050"
"In post","2021","Inner London - West","LGBO","Male","2170","2150","48580","45200"
"In post","2021","Inner London - West","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Undeclared","Female","2370","2270","45370","40960"
"In post","2021","Inner London - West","Undeclared","Male","2630","2590","48470","44680"
"In post","2021","Inner London - West","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Unknown","Female","7100","6810","44500","38600"
"In post","2021","Inner London - West","Unknown","Male","6250","6180","47030","40600"
"In post","2021","Inner London - West","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Heterosexual / straight","Female","3000","2730","28710","27370"
"In post","2021","Kent","Heterosexual / straight","Male","2980","2870","30360","29290"
"In post","2021","Kent","LGBO","Female","180","180","29800","29290"
"In post","2021","Kent","LGBO","Male","160","150","30850","29290"
"In post","2021","Kent","Undeclared","Female","430","380","29120","27370"
"In post","2021","Kent","Undeclared","Male","480","450","31060","27370"
"In post","2021","Kent","Unknown","Female","610","550","28190","26330"
"In post","2021","Kent","Unknown","Male","690","660","30830","29830"
"In post","2021","Lancashire","Heterosexual / straight","Female","5510","4880","28170","27570"
"In post","2021","Lancashire","Heterosexual / straight","Male","3640","3480","29490","27570"
"In post","2021","Lancashire","LGBO","Female","250","240","27400","26500"
"In post","2021","Lancashire","LGBO","Male","210","200","27420","27570"
"In post","2021","Lancashire","Undeclared","Female","620","530","28020","27570"
"In post","2021","Lancashire","Undeclared","Male","470","450","28730","27380"
"In post","2021","Lancashire","Unknown","Female","1890","1610","26200","25300"
"In post","2021","Lancashire","Unknown","Male","1520","1440","28340","27570"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","Female","2450","2160","27010","25220"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","Male","1700","1650","28860","27130"
"In post","2021","Leicestershire, Rutland and Northamptonshire","LGBO","Female","130","120","27720","26700"
"In post","2021","Leicestershire, Rutland and Northamptonshire","LGBO","Male","100","90","27660","27570"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Undeclared","Female","330","290","26240","24620"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Undeclared","Male","260","240","29470","27570"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Unknown","Female","730","630","25640","23240"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Unknown","Male","550","520","26740","26350"
"In post","2021","Lincolnshire","Heterosexual / straight","Female","1080","990","26400","25030"
"In post","2021","Lincolnshire","Heterosexual / straight","Male","1030","1010","29610","27570"
"In post","2021","Lincolnshire","LGBO","Female","50","40","[c]","[c]"
"In post","2021","Lincolnshire","LGBO","Male","40","40","[c]","[c]"
"In post","2021","Lincolnshire","Undeclared","Female","160","140","27560","26240"
"In post","2021","Lincolnshire","Undeclared","Male","140","140","31150","28210"
"In post","2021","Lincolnshire","Unknown","Female","170","150","28050","27570"
"In post","2021","Lincolnshire","Unknown","Male","170","160","28410","27570"
"In post","2021","Merseyside","Heterosexual / straight","Female","8170","7240","28230","25560"
"In post","2021","Merseyside","Heterosexual / straight","Male","5170","4980","30350","26410"
"In post","2021","Merseyside","LGBO","Female","280","260","27190","25040"
"In post","2021","Merseyside","LGBO","Male","320","310","29810","26370"
"In post","2021","Merseyside","Undeclared","Female","780","670","28040","25560"
"In post","2021","Merseyside","Undeclared","Male","660","620","30610","27240"
"In post","2021","Merseyside","Unknown","Female","2450","2090","26550","23470"
"In post","2021","Merseyside","Unknown","Male","1660","1580","28370","25560"
"In post","2021","North Eastern Scotland","Heterosexual / straight","Female","550","500","34160","29190"
"In post","2021","North Eastern Scotland","Heterosexual / straight","Male","520","510","42030","33650"
"In post","2021","North Eastern Scotland","LGBO","Female","30","30","[c]","[c]"
"In post","2021","North Eastern Scotland","LGBO","Male","30","30","[c]","[c]"
"In post","2021","North Eastern Scotland","Undeclared","Female","110","90","29230","22820"
"In post","2021","North Eastern Scotland","Undeclared","Male","100","100","41150","32060"
"In post","2021","North Eastern Scotland","Unknown","Female","240","220","30010","27570"
"In post","2021","North Eastern Scotland","Unknown","Male","280","270","36010","33650"
"In post","2021","North Yorkshire","Heterosexual / straight","Female","1780","1650","33780","29290"
"In post","2021","North Yorkshire","Heterosexual / straight","Male","1540","1510","34140","30280"
"In post","2021","North Yorkshire","LGBO","Female","100","100","33270","29030"
"In post","2021","North Yorkshire","LGBO","Male","80","80","32690","28430"
"In post","2021","North Yorkshire","Undeclared","Female","180","160","30820","27570"
"In post","2021","North Yorkshire","Undeclared","Male","240","230","33620","31420"
"In post","2021","North Yorkshire","Unknown","Female","400","360","32490","27570"
"In post","2021","North Yorkshire","Unknown","Male","400","390","32090","27570"
"In post","2021","Northern Ireland","Heterosexual / straight","Female","1220","1110","29200","25560"
"In post","2021","Northern Ireland","Heterosexual / straight","Male","1400","1360","28070","25040"
"In post","2021","Northern Ireland","LGBO","Female","50","40","[c]","[c]"
"In post","2021","Northern Ireland","LGBO","Male","50","50","25860","22330"
"In post","2021","Northern Ireland","Undeclared","Female","90","80","27940","25560"
"In post","2021","Northern Ireland","Undeclared","Male","140","140","28250","25560"
"In post","2021","Northern Ireland","Unknown","Female","400","360","26260","21730"
"In post","2021","Northern Ireland","Unknown","Male","470","460","26320","23870"
"In post","2021","Northumberland and Tyne and Wear","Heterosexual / straight","Female","8080","6960","28130","25560"
"In post","2021","Northumberland and Tyne and Wear","Heterosexual / straight","Male","5200","5000","30640","27570"
"In post","2021","Northumberland and Tyne and Wear","LGBO","Female","330","310","27610","25560"
"In post","2021","Northumberland and Tyne and Wear","LGBO","Male","370","360","28910","26980"
"In post","2021","Northumberland and Tyne and Wear","Undeclared","Female","760","640","27190","21950"
"In post","2021","Northumberland and Tyne and Wear","Undeclared","Male","680","650","30460","27290"
"In post","2021","Northumberland and Tyne and Wear","Unknown","Female","3500","2890","25180","21440"
"In post","2021","Northumberland and Tyne and Wear","Unknown","Male","2440","2320","28120","25560"
"In post","2021","Outer London - East and North East","Heterosexual / straight","Female","1440","1320","30230","31060"
"In post","2021","Outer London - East and North East","Heterosexual / straight","Male","960","940","31960","31060"
"In post","2021","Outer London - East and North East","LGBO","Female","80","70","31890","31060"
"In post","2021","Outer London - East and North East","LGBO","Male","40","40","[c]","[c]"
"In post","2021","Outer London - East and North East","Undeclared","Female","200","170","29080","30330"
"In post","2021","Outer London - East and North East","Undeclared","Male","140","130","32800","31060"
"In post","2021","Outer London - East and North East","Unknown","Female","560","490","28940","30330"
"In post","2021","Outer London - East and North East","Unknown","Male","380","370","31160","31060"
"In post","2021","Outer London - South","Heterosexual / straight","Female","4410","4070","36420","31170"
"In post","2021","Outer London - South","Heterosexual / straight","Male","3210","3150","39850","35280"
"In post","2021","Outer London - South","LGBO","Female","130","130","38240","31060"
"In post","2021","Outer London - South","LGBO","Male","170","160","40150","36160"
"In post","2021","Outer London - South","Undeclared","Female","640","580","35210","31060"
"In post","2021","Outer London - South","Undeclared","Male","520","510","40700","36420"
"In post","2021","Outer London - South","Unknown","Female","900","840","33880","31060"
"In post","2021","Outer London - South","Unknown","Male","760","740","37510","33650"
"In post","2021","Outer London - West and North West","Heterosexual / straight","Female","3370","3090","32250","31060"
"In post","2021","Outer London - West and North West","Heterosexual / straight","Male","2870","2710","33190","31060"
"In post","2021","Outer London - West and North West","LGBO","Female","150","140","32290","31060"
"In post","2021","Outer London - West and North West","LGBO","Male","140","130","35570","31060"
"In post","2021","Outer London - West and North West","Undeclared","Female","550","490","32440","30840"
"In post","2021","Outer London - West and North West","Undeclared","Male","480","450","35760","31060"
"In post","2021","Outer London - West and North West","Unknown","Female","890","810","34800","31060"
"In post","2021","Outer London - West and North West","Unknown","Male","630","610","35500","31750"
"In post","2021","Overseas","Heterosexual / straight","Female","950","940","49570","50940"
"In post","2021","Overseas","Heterosexual / straight","Male","1550","1550","50130","49640"
"In post","2021","Overseas","LGBO","Female","50","50","47100","41460"
"In post","2021","Overseas","LGBO","Male","120","120","53650","54040"
"In post","2021","Overseas","Undeclared","Female","140","140","45590","40330"
"In post","2021","Overseas","Undeclared","Male","230","230","48910","42110"
"In post","2021","Overseas","Unknown","Female","360","360","49730","46620"
"In post","2021","Overseas","Unknown","Male","360","360","52180","52430"
"In post","2021","Shropshire and Staffordshire","Heterosexual / straight","Female","3230","2930","29210","27380"
"In post","2021","Shropshire and Staffordshire","Heterosexual / straight","Male","2610","2540","31350","27570"
"In post","2021","Shropshire and Staffordshire","LGBO","Female","180","170","27100","25790"
"In post","2021","Shropshire and Staffordshire","LGBO","Male","140","130","29160","27470"
"In post","2021","Shropshire and Staffordshire","Undeclared","Female","340","300","28800","27130"
"In post","2021","Shropshire and Staffordshire","Undeclared","Male","360","340","31070","28110"
"In post","2021","Shropshire and Staffordshire","Unknown","Female","790","700","28100","26300"
"In post","2021","Shropshire and Staffordshire","Unknown","Male","670","640","30180","26950"
"In post","2021","South Yorkshire","Heterosexual / straight","Female","4200","3680","30360","27570"
"In post","2021","South Yorkshire","Heterosexual / straight","Male","2940","2840","32900","27570"
"In post","2021","South Yorkshire","LGBO","Female","200","190","31890","27570"
"In post","2021","South Yorkshire","LGBO","Male","190","180","30880","27570"
"In post","2021","South Yorkshire","Undeclared","Female","470","410","30280","27570"
"In post","2021","South Yorkshire","Undeclared","Male","380","370","32620","30070"
"In post","2021","South Yorkshire","Unknown","Female","850","730","29850","27570"
"In post","2021","South Yorkshire","Unknown","Male","700","670","33020","28200"
"In post","2021","Southern Scotland","Heterosexual / straight","Female","2020","1770","29910","27570"
"In post","2021","Southern Scotland","Heterosexual / straight","Male","1360","1300","31800","27570"
"In post","2021","Southern Scotland","LGBO","Female","70","60","30940","27570"
"In post","2021","Southern Scotland","LGBO","Male","80","80","30950","26160"
"In post","2021","Southern Scotland","Undeclared","Female","260","220","26540","22820"
"In post","2021","Southern Scotland","Undeclared","Male","200","190","28640","26780"
"In post","2021","Southern Scotland","Unknown","Female","1150","990","26980","24110"
"In post","2021","Southern Scotland","Unknown","Male","880","840","28630","25560"
"In post","2021","Surrey, East and West Sussex","Heterosexual / straight","Female","3170","2830","29800","27570"
"In post","2021","Surrey, East and West Sussex","Heterosexual / straight","Male","2300","2190","31970","28400"
"In post","2021","Surrey, East and West Sussex","LGBO","Female","250","240","29640","27570"
"In post","2021","Surrey, East and West Sussex","LGBO","Male","200","190","28700","27570"
"In post","2021","Surrey, East and West Sussex","Undeclared","Female","480","420","30640","27570"
"In post","2021","Surrey, East and West Sussex","Undeclared","Male","410","380","32270","29410"
"In post","2021","Surrey, East and West Sussex","Unknown","Female","800","690","29200","27570"
"In post","2021","Surrey, East and West Sussex","Unknown","Male","700","660","30470","28130"
"In post","2021","Tees Valley and Durham","Heterosexual / straight","Female","3780","3320","27550","25830"
"In post","2021","Tees Valley and Durham","Heterosexual / straight","Male","2570","2440","29020","27130"
"In post","2021","Tees Valley and Durham","LGBO","Female","170","160","28140","26810"
"In post","2021","Tees Valley and Durham","LGBO","Male","120","120","28690","26560"
"In post","2021","Tees Valley and Durham","Undeclared","Female","410","350","27590","25310"
"In post","2021","Tees Valley and Durham","Undeclared","Male","300","290","29960","27570"
"In post","2021","Tees Valley and Durham","Unknown","Female","1020","870","25310","22350"
"In post","2021","Tees Valley and Durham","Unknown","Male","870","810","28380","27150"
"In post","2021","Unknown","Heterosexual / straight","Female","560","520","32640","27570"
"In post","2021","Unknown","Heterosexual / straight","Male","440","430","34470","28120"
"In post","2021","Unknown","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Male","40","40","[c]","[c]"
"In post","2021","Unknown","Undeclared","Female","70","60","31870","27570"
"In post","2021","Unknown","Undeclared","Male","50","50","33130","28010"
"In post","2021","Unknown","Unknown","Female","550","520","33680","30780"
"In post","2021","Unknown","Unknown","Male","2000","2000","37630","33570"
"In post","2021","West Central Scotland","Heterosexual / straight","Female","6100","5460","30160","27150"
"In post","2021","West Central Scotland","Heterosexual / straight","Male","5110","4910","32310","27570"
"In post","2021","West Central Scotland","LGBO","Female","290","280","30820","27570"
"In post","2021","West Central Scotland","LGBO","Male","340","330","30000","27570"
"In post","2021","West Central Scotland","Undeclared","Female","980","850","27760","25560"
"In post","2021","West Central Scotland","Undeclared","Male","660","630","31610","27570"
"In post","2021","West Central Scotland","Unknown","Female","2130","1870","28800","25560"
