"Status","Year","Region_ITL3","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Undeclared","50","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Undeclared","80","70","25520","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Unknown","330","310","33260","30650"
"In post","2021","Aberdeen City and Aberdeenshire","White","Heterosexual / straight","990","940","37150","31160"
"In post","2021","Aberdeen City and Aberdeenshire","White","LGBO","60","50","31190","28410"
"In post","2021","Aberdeen City and Aberdeenshire","White","Undeclared","80","70","37200","30360"
"In post","2021","Aberdeen City and Aberdeenshire","White","Unknown","180","160","33200","31060"
"In post","2021","Angus and Dundee City","Asian","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Undeclared","40","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Undeclared","60","50","25050","22820"
"In post","2021","Angus and Dundee City","Unknown","Unknown","250","240","24430","21010"
"In post","2021","Angus and Dundee City","White","Heterosexual / straight","1130","1050","27260","23340"
"In post","2021","Angus and Dundee City","White","LGBO","70","70","24310","21130"
"In post","2021","Angus and Dundee City","White","Undeclared","70","60","23860","21010"
"In post","2021","Angus and Dundee City","White","Unknown","180","160","25680","21420"
"In post","2021","Antrim and Newtownabbey","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","White","Heterosexual / straight","160","150","23430","20310"
"In post","2021","Antrim and Newtownabbey","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Unknown","[c]","[c]","[c]","[c]"
