"Status","Year","Region_ITL3","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Attorney General's Departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","Scotland","130","130","47200","41420"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Transport","Scotland","80","70","32730","27680"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","Scotland","370","340","41210","27570"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","Scotland","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","Scotland","110","100","38630","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Justice","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","Scotland","1120","1060","33530","30650"
"In post","2021","Angus and Dundee City","Department for Transport","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","Scotland","960","870","23850","21010"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","Scotland","300","270","23610","21400"
"In post","2021","Angus and Dundee City","Ministry of Defence","Scotland","50","50","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Justice","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Government","Scotland","580","550","31870","27150"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Home Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","Northern Ireland","180","180","23500","20310"
"In post","2021","Ards and North Down","Cabinet Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","Northern Ireland","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","Northern Ireland","180","180","23350","20310"
"In post","2021","Armagh City, Banbridge and Craigavon","Ministry of Defence","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","London","460","420","30980","31060"
"In post","2021","Barking & Dagenham and Havering","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","London","120","100","28080","24660"
"In post","2021","Barnet","Department for Transport","London","30","30","[c]","[c]"
"In post","2021","Barnet","Department for Work and Pensions","London","300","280","30710","31060"
"In post","2021","Barnet","Department of Health and Social Care","London","1100","1040","43010","39110"
"In post","2021","Barnet","Home Office","London","150","150","44640","42170"
"In post","2021","Barnet","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","London","90","80","28070","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","Yorkshire and The Humber","60","50","27490","26780"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","Yorkshire and The Humber","1360","1150","25090","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","HM Treasury","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","Yorkshire and The Humber","1510","1400","28750","26810"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","South West (England)","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","South West (England)","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","South West (England)","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","South West (England)","320","290","27410","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Treasury","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","South West (England)","200","180","26800","25260"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","South West (England)","11560","11170","38650","36460"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","South West (England)","740","680","30540","28220"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","South West (England)","410","400","35940","34140"
"In post","2021","Bedford","Department for Business, Energy and Industrial Strategy","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","East of England","30","30","[c]","[c]"
"In post","2021","Bedford","Department for Work and Pensions","East of England","230","210","32000","27570"
"In post","2021","Bedford","Food Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Home Office","East of England","120","110","28790","26160"
"In post","2021","Bedford","Ministry of Defence","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice","East of England","400","380","29090","29470"
"In post","2021","Bedford","National Crime Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Cabinet Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Digital, Culture, Media and Sport","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Work and Pensions","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","Northern Ireland","80","80","38880","37910"
"In post","2021","Belfast","HM Revenue and Customs","Northern Ireland","1990","1850","28520","25560"
