"Status","Year","Region_ITL3","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data and Technology","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","International Trade","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Operational Delivery","North Eastern Scotland","630","590","37220","29040"
"In post","2021","Aberdeen City and Aberdeenshire","Other","North Eastern Scotland","60","60","27150","25870"
"In post","2021","Aberdeen City and Aberdeenshire","Policy","North Eastern Scotland","80","80","51630","52940"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Psychology","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Science and Engineering","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","North Eastern Scotland","90","90","40950","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Tax","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","North Eastern Scotland","900","840","33490","29190"
"In post","2021","Aberdeen City and Aberdeenshire","Veterinarian","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","Eastern Scotland","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Medicine","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Operational Delivery","Eastern Scotland","350","320","23650","21440"
"In post","2021","Angus and Dundee City","Other","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","Eastern Scotland","[c]","[c]","[c]","[c]"
