"Status","Year","Region_ITL3","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Operational Delivery","AA/AO","220","210","22600","22220"
"In post","2021","Aberdeen City and Aberdeenshire","Operational Delivery","EO","210","200","30080","29350"
"In post","2021","Aberdeen City and Aberdeenshire","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Operational Delivery","SEO/HEO","160","160","58490","41480"
"In post","2021","Aberdeen City and Aberdeenshire","Other","AA/AO","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Policy","SEO/HEO","60","50","57130","69670"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Psychology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Psychology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","AA/AO","80","80","39720","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","AA/AO","180","160","22770","22230"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","EO","350","320","28380","27570"
