"Status","Year","Region_ITL3","Sex","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Scotland","930","840","32400","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Scotland","940","910","39900","33650"
"In post","2021","Angus and Dundee City","Female","Scotland","1160","1040","26520","22230"
"In post","2021","Angus and Dundee City","Male","Scotland","740","710","25790","21150"
"In post","2021","Antrim and Newtownabbey","Female","Northern Ireland","60","60","26650","21670"
"In post","2021","Antrim and Newtownabbey","Male","Northern Ireland","140","140","23700","20310"
"In post","2021","Ards and North Down","Female","Northern Ireland","60","50","28760","22330"
"In post","2021","Ards and North Down","Male","Northern Ireland","170","170","24940","20310"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","London","390","340","30120","31060"
"In post","2021","Barking & Dagenham and Havering","Male","London","210","200","31100","31060"
"In post","2021","Barnet","Female","London","1060","980","38310","32330"
"In post","2021","Barnet","Male","London","620","600","42610","38520"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Yorkshire and The Humber","1840","1570","26140","26120"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Yorkshire and The Humber","1150","1100","28800","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","South West (England)","5370","4980","34700","32660"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","South West (England)","7990","7850","39800","37990"
"In post","2021","Bedford","Female","East of England","460","420","28930","27570"
"In post","2021","Bedford","Male","East of England","370","360","31830","30060"
"In post","2021","Belfast","Female","Northern Ireland","1440","1290","28780","25560"
"In post","2021","Belfast","Male","Northern Ireland","1380","1330","29010","25560"
"In post","2021","Berkshire","Female","South East (England)","1370","1260","32720","29290"
"In post","2021","Berkshire","Male","South East (England)","1590","1560","35820","33170"
"In post","2021","Bexley and Greenwich","Female","London","920","860","30500","31060"
"In post","2021","Bexley and Greenwich","Male","London","840","820","33250","33180"
"In post","2021","Birmingham","Female","West Midlands (England)","6600","5950","30240","27570"
"In post","2021","Birmingham","Male","West Midlands (England)","5000","4850","32400","27570"
"In post","2021","Blackburn with Darwen","Female","North West (England)","300","250","26530","27570"
"In post","2021","Blackburn with Darwen","Male","North West (England)","200","190","27180","27570"
"In post","2021","Blackpool","Female","North West (England)","3220","2840","28370","27570"
"In post","2021","Blackpool","Male","North West (England)","1930","1860","30190","27570"
"In post","2021","Bournemouth and Poole","Female","South West (England)","420","360","27030","27570"
"In post","2021","Bournemouth and Poole","Male","South West (England)","300","290","26620","27290"
"In post","2021","Bradford","Female","Yorkshire and The Humber","1860","1570","26880","25560"
"In post","2021","Bradford","Male","Yorkshire and The Humber","1240","1180","27660","25560"
"In post","2021","Breckland and South Norfolk","Female","East of England","220","200","27910","26300"
"In post","2021","Breckland and South Norfolk","Male","East of England","310","300","29020","26810"
"In post","2021","Brent","Female","London","400","360","30470","31050"
"In post","2021","Brent","Male","London","210","200","33300","31060"
"In post","2021","Bridgend and Neath Port Talbot","Female","Wales","500","430","26480","27570"
"In post","2021","Bridgend and Neath Port Talbot","Male","Wales","210","200","28560","27570"
"In post","2021","Brighton and Hove","Female","South East (England)","420","370","30640","27570"
"In post","2021","Brighton and Hove","Male","South East (England)","230","220","30520","27570"
"In post","2021","Bristol, City of","Female","South West (England)","3520","3170","34380","29870"
"In post","2021","Bristol, City of","Male","South West (England)","3090","2960","37550","31860"
"In post","2021","Bromley","Female","London","330","300","29460","31060"
"In post","2021","Bromley","Male","London","130","120","29250","31060"
"In post","2021","Buckinghamshire CC","Female","South East (England)","980","920","31030","28670"
"In post","2021","Buckinghamshire CC","Male","South East (England)","700","680","33710","31810"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Female","Scotland","110","100","27650","27570"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Male","Scotland","100","100","31100","29190"
"In post","2021","Calderdale and Kirklees","Female","Yorkshire and The Humber","700","590","26790","27570"
"In post","2021","Calderdale and Kirklees","Male","Yorkshire and The Humber","360","350","27480","27570"
"In post","2021","Cambridgeshire CC","Female","East of England","1620","1500","32990","29180"
"In post","2021","Cambridgeshire CC","Male","East of England","1760","1700","34900","31650"
"In post","2021","Camden and City of London","Female","London","1780","1670","35800","30920"
"In post","2021","Camden and City of London","Male","London","1860","1820","40630","36160"
"In post","2021","Cardiff and Vale of Glamorgan","Female","Wales","6510","5880","32300","27570"
"In post","2021","Cardiff and Vale of Glamorgan","Male","Wales","5560","5380","33710","28850"
"In post","2021","Causeway Coast and Glens","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Male","Northern Ireland","60","60","20740","20310"
"In post","2021","Central Bedfordshire","Female","East of England","190","170","28630","26670"
"In post","2021","Central Bedfordshire","Male","East of England","250","240","31440","29750"
"In post","2021","Central Hampshire","Female","South East (England)","1870","1760","33500","33000"
"In post","2021","Central Hampshire","Male","South East (England)","2320","2270","38340","37320"
"In post","2021","Central Valleys","Female","Wales","1130","1030","32770","28850"
"In post","2021","Central Valleys","Male","Wales","580","560","38080","31700"
"In post","2021","Cheshire East","Female","North West (England)","470","430","29740","27570"
"In post","2021","Cheshire East","Male","North West (England)","290","270","30540","27570"
"In post","2021","Cheshire West and Chester","Female","North West (England)","290","260","26370","27570"
"In post","2021","Cheshire West and Chester","Male","North West (England)","170","160","25600","23840"
"In post","2021","Chorley and West Lancashire","Female","North West (England)","630","580","28710","27380"
"In post","2021","Chorley and West Lancashire","Male","North West (England)","700","650","30590","28830"
"In post","2021","City of Edinburgh","Female","Scotland","6750","6310","37110","31810"
"In post","2021","City of Edinburgh","Male","Scotland","6050","5900","37710","33620"
"In post","2021","Clackmannanshire and Fife","Female","Scotland","680","610","27840","27570"
"In post","2021","Clackmannanshire and Fife","Male","Scotland","670","640","32110","33300"
"In post","2021","Conwy and Denbighshire","Female","Wales","450","410","34420","30210"
"In post","2021","Conwy and Denbighshire","Male","Wales","240","220","36310","30600"
"In post","2021","Cornwall and Isles of Scilly","Female","South West (England)","920","800","26230","26590"
"In post","2021","Cornwall and Isles of Scilly","Male","South West (England)","730","700","27040","26670"
"In post","2021","Coventry","Female","West Midlands (England)","1460","1350","35630","31000"
"In post","2021","Coventry","Male","West Midlands (England)","970","950","38730","36430"
"In post","2021","Croydon","Female","London","5350","4950","36810","32090"
"In post","2021","Croydon","Male","London","4270","4190","40290","36160"
"In post","2021","Darlington","Female","North East (England)","600","550","34360","30200"
"In post","2021","Darlington","Male","North East (England)","380","370","37750","36500"
"In post","2021","Derby","Female","East Midlands (England)","650","540","24990","21530"
"In post","2021","Derby","Male","East Midlands (England)","370","350","29020","27570"
"In post","2021","Derry City and Strabane","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Derry City and Strabane","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Female","South West (England)","2710","2360","29700","27570"
"In post","2021","Devon CC","Male","South West (England)","2870","2750","33560","31580"
"In post","2021","Dorset CC","Female","South West (England)","950","860","27860","26670"
"In post","2021","Dorset CC","Male","South West (England)","1190","1150","30160","28220"
"In post","2021","Dudley","Female","West Midlands (England)","810","670","24960","25410"
"In post","2021","Dudley","Male","West Midlands (England)","340","320","25360","26580"
"In post","2021","Dumfries and Galloway","Female","Scotland","250","220","27880","26530"
"In post","2021","Dumfries and Galloway","Male","Scotland","320","300","30440","28870"
"In post","2021","Durham CC","Female","North East (England)","3150","2750","26070","23240"
"In post","2021","Durham CC","Male","North East (England)","2440","2280","28250","26780"
"In post","2021","Ealing","Female","London","340","310","31640","31060"
"In post","2021","Ealing","Male","London","180","170","30700","31060"
"In post","2021","East Ayrshire and North Ayrshire mainland","Female","Scotland","510","440","26050","27570"
"In post","2021","East Ayrshire and North Ayrshire mainland","Male","Scotland","450","430","27460","26160"
"In post","2021","East Cumbria","Female","North West (England)","540","470","27230","25010"
"In post","2021","East Cumbria","Male","North West (England)","400","390","28160","24920"
"In post","2021","East Derbyshire","Female","East Midlands (England)","280","240","26270","27570"
"In post","2021","East Derbyshire","Male","East Midlands (England)","110","100","28250","27570"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Female","Scotland","840","770","27910","26670"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Male","Scotland","1580","1540","31950","29420"
"In post","2021","East Kent","Female","South East (England)","2060","1840","27960","25980"
"In post","2021","East Kent","Male","South East (England)","2170","2050","28400","27240"
"In post","2021","East Lancashire","Female","North West (England)","320","280","25540","27570"
"In post","2021","East Lancashire","Male","North West (England)","160","160","26320","27570"
"In post","2021","East Lothian and Midlothian","Female","Scotland","70","60","27240","27570"
"In post","2021","East Lothian and Midlothian","Male","Scotland","50","40","[c]","[c]"
"In post","2021","East Merseyside","Female","North West (England)","730","630","26930","27570"
"In post","2021","East Merseyside","Male","North West (England)","310","300","29280","27570"
"In post","2021","East Riding of Yorkshire","Female","Yorkshire and The Humber","680","620","26540","25570"
"In post","2021","East Riding of Yorkshire","Male","Yorkshire and The Humber","1210","1160","29820","26930"
"In post","2021","East Surrey","Female","South East (England)","520","480","33020","31880"
"In post","2021","East Surrey","Male","South East (England)","470","460","33880","33880"
"In post","2021","East Sussex CC","Female","South East (England)","1180","1010","26080","26350"
"In post","2021","East Sussex CC","Male","South East (England)","820","780","27860","27570"
"In post","2021","Enfield","Female","London","240","220","30180","31060"
"In post","2021","Enfield","Male","London","120","120","30030","31060"
"In post","2021","Essex Haven Gateway","Female","East of England","570","530","29460","29290"
"In post","2021","Essex Haven Gateway","Male","East of England","560","540","35250","29670"
"In post","2021","Essex Thames Gateway","Female","East of England","690","600","27500","28200"
"In post","2021","Essex Thames Gateway","Male","East of England","250","240","28100","29290"
"In post","2021","Falkirk","Female","Scotland","1150","980","26250","22820"
"In post","2021","Falkirk","Male","Scotland","660","620","29880","27570"
"In post","2021","Fermanagh and Omagh","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","Female","Wales","1090","1000","27130","25200"
"In post","2021","Flintshire and Wrexham","Male","Wales","1060","1030","28500","27460"
"In post","2021","Glasgow City","Female","Scotland","6320","5720","31190","27570"
"In post","2021","Glasgow City","Male","Scotland","5330","5140","32570","27570"
"In post","2021","Gloucestershire","Female","South West (England)","830","730","28130","27130"
"In post","2021","Gloucestershire","Male","South West (England)","570","530","30890","27570"
"In post","2021","Greater Manchester North East","Female","North West (England)","740","680","27400","27570"
"In post","2021","Greater Manchester North East","Male","North West (England)","470","450","27940","27570"
"In post","2021","Greater Manchester North West","Female","North West (England)","1340","1160","24820","22850"
"In post","2021","Greater Manchester North West","Male","North West (England)","650","620","26330","26780"
"In post","2021","Greater Manchester South East","Female","North West (England)","870","770","25440","21920"
