"Status","Year","Region_ITL3","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Declared disabled","90","80","32860","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Declared non-disabled","770","720","39560","31720"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Unknown","190","180","34530","33650"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Declared non-disabled","80","80","40740","31060"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Unknown","90","70","26320","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Declared non-disabled","170","150","34440","31060"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Unknown","340","320","32230","30650"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Declared disabled","200","180","24650","21150"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Declared non-disabled","870","800","27260","24430"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Undeclared","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Unknown","90","90","32180","26160"
"In post","2021","Angus and Dundee City","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Declared non-disabled","60","50","24160","21010"
"In post","2021","Angus and Dundee City","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Unknown","60","50","25430","22820"
"In post","2021","Angus and Dundee City","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Declared non-disabled","200","180","25020","21010"
"In post","2021","Angus and Dundee City","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Unknown","230","220","24970","21150"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Declared non-disabled","110","110","24150","20310"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","Declared non-disabled","130","120","27220","21250"
"In post","2021","Ards and North Down","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","Unknown","30","30","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Heterosexual / straight","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
