"Status","Year","Region_ITL3","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","North Eastern Scotland","1070","1010","38000","31700"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","North Eastern Scotland","60","60","33630","28410"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","North Eastern Scotland","210","190","34990","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","North Eastern Scotland","520","490","33270","30650"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Eastern Scotland","1200","1110","27130","23340"
"In post","2021","Angus and Dundee City","LGBO","Eastern Scotland","80","80","24450","21010"
"In post","2021","Angus and Dundee City","Undeclared","Eastern Scotland","170","150","24360","21440"
"In post","2021","Angus and Dundee City","Unknown","Eastern Scotland","460","420","24880","21010"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Northern Ireland","160","150","23590","20310"
"In post","2021","Antrim and Newtownabbey","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Northern Ireland","40","30","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","Northern Ireland","190","180","26280","21080"
"In post","2021","Ards and North Down","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","Outer London - East and North East","400","370","30520","31060"
"In post","2021","Barking & Dagenham and Havering","LGBO","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Outer London - East and North East","50","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Outer London - East and North East","140","120","30390","31060"
"In post","2021","Barnet","Heterosexual / straight","Outer London - West and North West","1130","1070","37760","32330"
"In post","2021","Barnet","LGBO","Outer London - West and North West","70","70","41100","32650"
"In post","2021","Barnet","Undeclared","Outer London - West and North West","150","140","41620","33230"
"In post","2021","Barnet","Unknown","Outer London - West and North West","330","310","46130","40070"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","South Yorkshire","2040","1820","27350","27150"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","South Yorkshire","130","120","28440","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","South Yorkshire","240","220","28380","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","South Yorkshire","600","520","25780","25960"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","10300","9900","37860","34500"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Gloucestershire, Wiltshire and Bath/Bristol area","430","420","32930","29750"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","1520","1450","40160","39420"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","1110","1060","35250","31950"
"In post","2021","Bedford","Heterosexual / straight","Bedfordshire and Hertfordshire","570","540","30600","28500"
"In post","2021","Bedford","LGBO","Bedfordshire and Hertfordshire","40","40","[c]","[c]"
"In post","2021","Bedford","Undeclared","Bedfordshire and Hertfordshire","80","70","31590","30400"
"In post","2021","Bedford","Unknown","Bedfordshire and Hertfordshire","150","130","28340","27700"
"In post","2021","Belfast","Heterosexual / straight","Northern Ireland","1800","1680","30090","26550"
"In post","2021","Belfast","LGBO","Northern Ireland","80","80","26730","25560"
"In post","2021","Belfast","Undeclared","Northern Ireland","160","140","29090","25560"
"In post","2021","Belfast","Unknown","Northern Ireland","780","730","26320","24690"
"In post","2021","Berkshire","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","1960","1880","34500","31040"
"In post","2021","Berkshire","LGBO","Berkshire, Buckinghamshire and Oxfordshire","100","90","33190","29290"
