"Status","Year","Responsibility_level","Disability","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Declared disabled","16-19","40","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","20-29","1530","1480","22200","21010"
"In post","2021","AA/AO","Declared disabled","30-39","2120","1930","22260","21010"
"In post","2021","AA/AO","Declared disabled","40-49","3230","2840","22040","21010"
"In post","2021","AA/AO","Declared disabled","50-59","5680","5020","22020","21010"
"In post","2021","AA/AO","Declared disabled","60-64","2210","1770","21610","21010"
"In post","2021","AA/AO","Declared disabled","65+","740","560","21330","21010"
"In post","2021","AA/AO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","16-19","490","470","20930","21010"
"In post","2021","AA/AO","Declared non-disabled","20-29","15420","14990","22650","21430"
"In post","2021","AA/AO","Declared non-disabled","30-39","16760","15140","22820","21240"
"In post","2021","AA/AO","Declared non-disabled","40-49","17590","15640","22480","21010"
"In post","2021","AA/AO","Declared non-disabled","50-59","25710","23080","22310","21010"
"In post","2021","AA/AO","Declared non-disabled","60-64","9210","7510","21770","21010"
"In post","2021","AA/AO","Declared non-disabled","65+","3350","2580","21560","21010"
"In post","2021","AA/AO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","20-29","760","740","22710","21010"
"In post","2021","AA/AO","Undeclared","30-39","1450","1330","23570","21390"
"In post","2021","AA/AO","Undeclared","40-49","2020","1850","24580","21590"
"In post","2021","AA/AO","Undeclared","50-59","3700","3410","25260","22080"
"In post","2021","AA/AO","Undeclared","60-64","1200","960","23920","21550"
"In post","2021","AA/AO","Undeclared","65+","440","320","23040","21180"
"In post","2021","AA/AO","Unknown","16-19","410","390","20680","20140"
"In post","2021","AA/AO","Unknown","20-29","8760","8540","22200","21010"
"In post","2021","AA/AO","Unknown","30-39","5500","5110","22650","21010"
"In post","2021","AA/AO","Unknown","40-49","4380","3990","22480","21220"
"In post","2021","AA/AO","Unknown","50-59","5400","4860","22150","21430"
"In post","2021","AA/AO","Unknown","60-64","1900","1560","21550","21130"
"In post","2021","AA/AO","Unknown","65+","640","510","21500","21010"
"In post","2021","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","20-29","1560","1540","27200","27570"
"In post","2021","EO","Declared disabled","30-39","2280","2150","27510","27570"
"In post","2021","EO","Declared disabled","40-49","3590","3290","27730","27570"
"In post","2021","EO","Declared disabled","50-59","5990","5490","28010","27570"
"In post","2021","EO","Declared disabled","60-64","1750","1380","28080","27570"
"In post","2021","EO","Declared disabled","65+","500","360","28100","27570"
"In post","2021","EO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared non-disabled","16-19","180","180","23480","24300"
"In post","2021","EO","Declared non-disabled","20-29","13690","13540","26940","27500"
"In post","2021","EO","Declared non-disabled","30-39","17410","16400","27310","27570"
"In post","2021","EO","Declared non-disabled","40-49","19870","18410","27670","27570"
"In post","2021","EO","Declared non-disabled","50-59","26820","24800","28010","27570"
"In post","2021","EO","Declared non-disabled","60-64","7330","5800","28040","27570"
"In post","2021","EO","Declared non-disabled","65+","2110","1560","28110","27570"
"In post","2021","EO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","20-29","780","770","27420","27570"
"In post","2021","EO","Undeclared","30-39","1360","1300","28150","27570"
"In post","2021","EO","Undeclared","40-49","1700","1610","28460","27570"
"In post","2021","EO","Undeclared","50-59","2500","2370","28840","27570"
"In post","2021","EO","Undeclared","60-64","650","540","28580","27570"
"In post","2021","EO","Undeclared","65+","190","150","28160","27570"
"In post","2021","EO","Unknown","16-19","90","90","21770","23050"
"In post","2021","EO","Unknown","20-29","5570","5520","27130","26860"
"In post","2021","EO","Unknown","30-39","4610","4450","27900","27130"
"In post","2021","EO","Unknown","40-49","3230","3070","28190","27570"
