"Status","Year","Responsibility_level","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Monmouthshire and Newport","50","50","[c]","[c]"
"In post","2021","AA/AO","Analysis","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Suffolk","30","30","[c]","[c]"
"In post","2021","AA/AO","Analysis","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Westminster","50","50","[c]","[c]"
"In post","2021","AA/AO","Analysis","York","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Oxfordshire","[c]","[c]","[c]","[c]"
