"Status","Year","Responsibility_level","Organisation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Accountant in Bankruptcy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Accountant in Bankruptcy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Accountant in Bankruptcy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Unknown","30","30","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Declared disabled","140","130","21950","21050"
"In post","2021","AA/AO","Animal and Plant Health Agency","Declared non-disabled","580","540","21830","21050"
"In post","2021","AA/AO","Animal and Plant Health Agency","Undeclared","30","30","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Unknown","60","60","22340","21050"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Declared disabled","80","70","22090","20920"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Declared non-disabled","280","260","22070","20920"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Unknown","170","160","21270","20920"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Declared disabled","30","30","[c]","[c]"
"In post","2021","AA/AO","Companies House","Declared non-disabled","220","190","21700","22490"
"In post","2021","AA/AO","Companies House","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Unknown","150","130","21700","22490"
"In post","2021","AA/AO","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","Declared non-disabled","60","50","20030","19930"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","Undeclared","30","30","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Declared disabled","30","30","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Declared non-disabled","640","570","21930","22220"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Declared disabled","160","140","22460","21950"
"In post","2021","AA/AO","Crown Prosecution Service","Declared non-disabled","840","740","22730","21950"
"In post","2021","AA/AO","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Unknown","460","440","21260","21000"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Declared non-disabled","50","50","19580","21000"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Undeclared","30","30","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Declared non-disabled","70","70","18590","17710"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Unknown","40","40","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","120","110","22820","23230"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","30","20","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Declared non-disabled","60","60","25280","25730"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Undeclared","80","70","30800","32740"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Declared disabled","5070","4280","21150","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Declared non-disabled","22020","18800","21170","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Undeclared","1340","1190","21200","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Unknown","890","830","21260","21010"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Disclosure Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Disclosure Scotland","Declared non-disabled","80","70","21670","21150"
"In post","2021","AA/AO","Disclosure Scotland","Unknown","90","80","22170","22230"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Declared disabled","490","390","20280","21590"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Declared non-disabled","2780","2360","20720","21590"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Undeclared","280","240","20690","21590"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Unknown","540","470","20530","21590"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Declared disabled","80","70","23550","21590"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Declared non-disabled","740","680","24620","24710"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Undeclared","60","60","24750","24260"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Unknown","240","240","24450","23990"
"In post","2021","AA/AO","Education and Skills Funding Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Declared non-disabled","110","110","24760","23280"
"In post","2021","AA/AO","FCDO Services","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","70","70","25930","25430"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","280","270","26160","25790"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","70","70","24140","23000"
"In post","2021","AA/AO","Forestry and Land Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Forestry and Land Scotland","Declared non-disabled","430","410","25010","25140"
"In post","2021","AA/AO","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Actuary's Department","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Actuary's Department","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Actuary's Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Property Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Property Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Declared disabled","50","40","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Declared non-disabled","210","190","22140","22160"
"In post","2021","AA/AO","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Courts and Tribunals Service","Declared disabled","1390","1230","19870","19930"
"In post","2021","AA/AO","HM Courts and Tribunals Service","Declared non-disabled","7070","6120","20010","19930"
"In post","2021","AA/AO","HM Courts and Tribunals Service","Undeclared","780","680","20140","20100"
"In post","2021","AA/AO","HM Courts and Tribunals Service","Unknown","1240","1190","19810","19170"
"In post","2021","AA/AO","HM Land Registry","Declared disabled","120","100","22380","22350"
"In post","2021","AA/AO","HM Land Registry","Declared non-disabled","390","360","22560","22350"
"In post","2021","AA/AO","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Unknown","1320","1270","22450","22350"
"In post","2021","AA/AO","HM Prison and Probation Service","Declared disabled","2320","2160","25920","24690"
