"Status","Year","Responsibility_level","Region_ITL3","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Operational Delivery","220","210","22600","22220"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Other","40","40","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Security","80","80","39720","44070"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Unknown","180","160","22770","22230"
"In post","2021","AA/AO","Angus and Dundee City","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Operational Delivery","250","220","21000","21400"
"In post","2021","AA/AO","Angus and Dundee City","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Tax","40","40","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Unknown","770","710","21220","21010"
"In post","2021","AA/AO","Antrim and Newtownabbey","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","Medicine","[c]","[c]","[c]","[c]"
