"Status","Year","Responsibility_level","Sexual_orientation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Heterosexual / straight","Aberdeen City and Aberdeenshire","250","230","25980","22220"
"In post","2021","AA/AO","Heterosexual / straight","Angus and Dundee City","630","580","21230","21010"
"In post","2021","AA/AO","Heterosexual / straight","Antrim and Newtownabbey","130","130","20750","20310"
"In post","2021","AA/AO","Heterosexual / straight","Ards and North Down","130","130","20890","20310"
"In post","2021","AA/AO","Heterosexual / straight","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Barking & Dagenham and Havering","80","70","23580","23210"
"In post","2021","AA/AO","Heterosexual / straight","Barnet","200","170","23780","23530"
"In post","2021","AA/AO","Heterosexual / straight","Barnsley, Doncaster and Rotherham","980","870","23010","21010"
"In post","2021","AA/AO","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","510","470","22820","21010"
"In post","2021","AA/AO","Heterosexual / straight","Bedford","190","180","26140","27850"
"In post","2021","AA/AO","Heterosexual / straight","Belfast","540","480","20780","21420"
"In post","2021","AA/AO","Heterosexual / straight","Berkshire","620","600","27420","25540"
"In post","2021","AA/AO","Heterosexual / straight","Bexley and Greenwich","530","510","28230","27240"
"In post","2021","AA/AO","Heterosexual / straight","Birmingham","2090","1900","21110","20140"
"In post","2021","AA/AO","Heterosexual / straight","Blackburn with Darwen","100","80","21130","21010"
"In post","2021","AA/AO","Heterosexual / straight","Blackpool","1130","1020","20870","21010"
"In post","2021","AA/AO","Heterosexual / straight","Bournemouth and Poole","150","130","20290","20100"
"In post","2021","AA/AO","Heterosexual / straight","Bradford","640","540","20420","20140"
"In post","2021","AA/AO","Heterosexual / straight","Breckland and South Norfolk","210","200","24230","23240"
"In post","2021","AA/AO","Heterosexual / straight","Brent","90","80","23650","23500"
"In post","2021","AA/AO","Heterosexual / straight","Bridgend and Neath Port Talbot","190","160","20440","21010"
