"Status","Year","Sex","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Declared disabled","Attorney General's Departments","610","550","43580","39890"
"In post","2021","Female","Declared disabled","Cabinet Office","390","370","43210","38420"
"In post","2021","Female","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Department for Business, Energy and Industrial Strategy","590","550","38920","33640"
"In post","2021","Female","Declared disabled","Department for Digital, Culture, Media and Sport","70","70","46980","39190"
"In post","2021","Female","Declared disabled","Department for Education","440","410","41390","37040"
"In post","2021","Female","Declared disabled","Department for Environment, Food and Rural Affairs","690","630","33400","29720"
"In post","2021","Female","Declared disabled","Department for International Trade","100","100","45360","41640"
"In post","2021","Female","Declared disabled","Department for Transport","760","630","27300","21590"
"In post","2021","Female","Declared disabled","Department for Work and Pensions","10440","8860","27160","27570"
"In post","2021","Female","Declared disabled","Department of Health and Social Care","350","320","39000","35380"
"In post","2021","Female","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Foreign, Commonwealth and Development Office","420","400","42850","38600"
"In post","2021","Female","Declared disabled","HM Land Registry","290","240","29870","27130"
"In post","2021","Female","Declared disabled","HM Revenue and Customs","3270","2830","30230","25820"
"In post","2021","Female","Declared disabled","HM Treasury","140","130","43200","39280"
"In post","2021","Female","Declared disabled","Home Office","1670","1490","30990","27370"
"In post","2021","Female","Declared disabled","Ministry of Defence","2410","2270","32140","28960"
"In post","2021","Female","Declared disabled","Ministry of Housing, Communities and Local Government","180","170","41070","38160"
"In post","2021","Female","Declared disabled","Ministry of Justice","5490","5050","28490","25400"
"In post","2021","Female","Declared disabled","National Crime Agency","100","100","37000","36310"
"In post","2021","Female","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Office for Standards in Education","100","90","44830","51360"
