"Status","Year","Sex","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Analysis","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Centre for Environment, Fisheries and Aquaculture Science","210","190","30970","29270"
"In post","2021","Female","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Competition and Markets Authority","60","50","57500","56360"
"In post","2021","Female","Analysis","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Defence Science and Technology Laboratory","140","130","37880","37320"
"In post","2021","Female","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","100","42610","35640"
"In post","2021","Female","Analysis","Department for Digital, Culture, Media and Sport","50","50","53780","59730"
"In post","2021","Female","Analysis","Department for Education (excl. agencies)","220","200","43850","42580"
"In post","2021","Female","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","Analysis","Department for International Trade","100","100","41910","38160"
"In post","2021","Female","Analysis","Department for Transport (excl. agencies)","180","170","47630","44030"
"In post","2021","Female","Analysis","Department of Health and Social Care (excl. agencies)","150","130","52140","53360"
"In post","2021","Female","Analysis","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Government Actuary's Department","60","50","67910","65470"
"In post","2021","Female","Analysis","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","HM Revenue and Customs (excl. agencies)","280","260","44290","38630"
