"Status","Year","Sex","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Accountant in Bankruptcy","Unknown","80","70","30250","29190"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Operational Delivery","540","490","30930","30950"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Operational Delivery","940","870","26190","24920"
"In post","2021","Female","Animal and Plant Health Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Science and Engineering","400","370","30290","28170"
"In post","2021","Female","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Veterinarian","210","190","43130","38130"
"In post","2021","Female","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Unknown","4980","4830","44360","35590"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","210","190","30970","29270"
"In post","2021","Female","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Unknown","140","130","32370","29160"
"In post","2021","Female","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Companies House","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Companies House","Digital, Data and Technology","80","70","36690","36440"
"In post","2021","Female","Companies House","Finance","40","30","[c]","[c]"
"In post","2021","Female","Companies House","Human Resources","60","60","33220","30530"
"In post","2021","Female","Companies House","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Companies House","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Companies House","Operational Delivery","360","300","24210","22490"
"In post","2021","Female","Companies House","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Companies House","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Companies House","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Economics","40","40","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Legal","70","70","69330","71370"
