"Status","Year","Sex","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Commercial","Heterosexual / straight","2070","1960","38920","36300"
"In post","2021","Female","Commercial","LGBO","60","60","35350","32850"
"In post","2021","Female","Commercial","Undeclared","250","230","38420","36290"
"In post","2021","Female","Commercial","Unknown","480","460","38680","37300"
"In post","2021","Female","Communications","Heterosexual / straight","1580","1500","41540","38540"
"In post","2021","Female","Communications","LGBO","80","70","39570","36780"
"In post","2021","Female","Communications","Undeclared","170","150","38970","37390"
"In post","2021","Female","Communications","Unknown","510","490","42160","38640"
"In post","2021","Female","Corporate Finance","Heterosexual / straight","60","60","45090","41600"
"In post","2021","Female","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Heterosexual / straight","280","250","34210","31070"
"In post","2021","Female","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Unknown","90","80","38890","35240"
"In post","2021","Female","Digital, Data and Technology","Heterosexual / straight","2990","2830","40910","38000"
"In post","2021","Female","Digital, Data and Technology","LGBO","210","210","40070","37130"
"In post","2021","Female","Digital, Data and Technology","Undeclared","440","420","39980","37410"
"In post","2021","Female","Digital, Data and Technology","Unknown","980","940","40200","36890"
"In post","2021","Female","Economics","Heterosexual / straight","530","510","47690","49100"
"In post","2021","Female","Economics","LGBO","50","50","43250","36150"
"In post","2021","Female","Economics","Undeclared","50","50","[c]","[c]"
"In post","2021","Female","Economics","Unknown","170","160","45120","40170"
"In post","2021","Female","Finance","Heterosexual / straight","3720","3450","38490","33930"
"In post","2021","Female","Finance","LGBO","100","100","39000","33930"
"In post","2021","Female","Finance","Undeclared","520","470","37710","33300"
"In post","2021","Female","Finance","Unknown","790","730","35740","32790"
"In post","2021","Female","Human Resources","Heterosexual / straight","4400","4110","38700","33900"
"In post","2021","Female","Human Resources","LGBO","150","140","38280","32870"
"In post","2021","Female","Human Resources","Undeclared","400","370","35880","32890"
"In post","2021","Female","Human Resources","Unknown","610","580","36090","32140"
"In post","2021","Female","Inspector of Education and Training","Heterosexual / straight","520","500","63490","64500"
"In post","2021","Female","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","Unknown","30","30","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Heterosexual / straight","1150","1070","32900","29250"
"In post","2021","Female","Intelligence Analysis","LGBO","60","60","32100","29280"
"In post","2021","Female","Intelligence Analysis","Undeclared","190","180","32790","30100"
"In post","2021","Female","Intelligence Analysis","Unknown","160","150","41640","36290"
"In post","2021","Female","Internal Audit","Heterosexual / straight","300","290","43320","41340"
"In post","2021","Female","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Undeclared","50","50","45460","42140"
"In post","2021","Female","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","Heterosexual / straight","370","370","46960","41290"
"In post","2021","Female","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","Undeclared","50","40","[c]","[c]"
"In post","2021","Female","International Trade","Unknown","210","210","43580","38540"
"In post","2021","Female","Knowledge and Information Management","Heterosexual / straight","900","840","35810","33050"
"In post","2021","Female","Knowledge and Information Management","LGBO","40","40","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Undeclared","160","150","34910","32440"
"In post","2021","Female","Knowledge and Information Management","Unknown","190","170","36200","33280"
"In post","2021","Female","Legal","Heterosexual / straight","4650","4250","48850","50520"
"In post","2021","Female","Legal","LGBO","170","160","46530","49540"
"In post","2021","Female","Legal","Undeclared","550","490","47940","45480"
"In post","2021","Female","Legal","Unknown","1660","1490","48780","51990"
"In post","2021","Female","Medicine","Heterosexual / straight","1220","1080","49690","37890"
"In post","2021","Female","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Medicine","Undeclared","150","130","59100","45100"
"In post","2021","Female","Medicine","Unknown","360","310","56840","40890"
"In post","2021","Female","Operational Delivery","Heterosexual / straight","65030","58130","28030","25480"
"In post","2021","Female","Operational Delivery","LGBO","3610","3470","28610","25900"
"In post","2021","Female","Operational Delivery","Undeclared","9690","8400","27620","25560"
"In post","2021","Female","Operational Delivery","Unknown","18570","16290","26130","22920"
"In post","2021","Female","Operational Research","Heterosexual / straight","320","300","43560","40530"
"In post","2021","Female","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Operational Research","Unknown","50","50","[c]","[c]"
"In post","2021","Female","Other","Heterosexual / straight","7950","7470","29240","24890"
"In post","2021","Female","Other","LGBO","270","260","30760","26510"
"In post","2021","Female","Other","Undeclared","1040","970","29340","25610"
"In post","2021","Female","Other","Unknown","1500","1420","34550","30150"
"In post","2021","Female","Planning","Heterosexual / straight","80","80","45760","40790"
"In post","2021","Female","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectors","Heterosexual / straight","100","90","57580","58810"
"In post","2021","Female","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Heterosexual / straight","10970","10500","46190","41760"
"In post","2021","Female","Policy","LGBO","800","790","44230","39600"
"In post","2021","Female","Policy","Undeclared","1280","1240","45250","40580"
"In post","2021","Female","Policy","Unknown","2660","2560","45770","40650"
"In post","2021","Female","Project Delivery","Heterosexual / straight","6040","5770","40490","37450"
"In post","2021","Female","Project Delivery","LGBO","240","240","39490","35960"
"In post","2021","Female","Project Delivery","Undeclared","690","660","41310","38630"
"In post","2021","Female","Project Delivery","Unknown","1080","1030","40820","38630"
"In post","2021","Female","Property","Heterosexual / straight","1940","1810","35030","33000"
"In post","2021","Female","Property","LGBO","80","70","34040","32010"
"In post","2021","Female","Property","Undeclared","290","270","34990","33300"
"In post","2021","Female","Property","Unknown","470","430","31650","29450"
"In post","2021","Female","Psychology","Heterosexual / straight","940","890","35650","31180"
"In post","2021","Female","Psychology","LGBO","40","40","[c]","[c]"
"In post","2021","Female","Psychology","Undeclared","80","70","34770","31180"
"In post","2021","Female","Psychology","Unknown","180","170","36260","33300"
