"Status","Year","Sex","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Legal","80","70","31810","22820"
"In post","2021","Female","Aberdeen City and Aberdeenshire","No function","310","290","33790","28410"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Unknown","490","440","31780","27570"
"In post","2021","Female","Angus and Dundee City","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Legal","80","70","31800","29350"
"In post","2021","Female","Angus and Dundee City","No function","190","170","24390","21440"
"In post","2021","Female","Angus and Dundee City","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Unknown","880","790","26510","23340"
"In post","2021","Female","Antrim and Newtownabbey","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","No function","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Ards and North Down","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","No function","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","No function","100","90","27440","24080"
"In post","2021","Female","Barking & Dagenham and Havering","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Unknown","290","250","30770","31060"
"In post","2021","Female","Barnet","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","No function","750","700","40270","33340"
"In post","2021","Female","Barnet","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Unknown","260","230","32050","31060"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","No function","730","670","26950","24440"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Unknown","1050","850","25090","27570"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","30","30","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","270","250","41130","34800"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","40","40","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","50","50","32280","29000"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","380","350","37810","33520"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","440","400","33890","30090"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","30","30","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","590","540","30060","28840"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","2730","2560","35460","33190"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","120","120","36790","35170"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","630","570","30210","27570"
"In post","2021","Female","Bedford","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","No function","260","240","28900","27850"
"In post","2021","Female","Bedford","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Unknown","180","160","28240","27570"
"In post","2021","Female","Belfast","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Counter Fraud","190","170","30930","28130"
"In post","2021","Female","Belfast","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","No function","900","810","28290","25560"
"In post","2021","Female","Belfast","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Unknown","240","210","24820","21880"
"In post","2021","Female","Berkshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Female","Berkshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2021","Female","Berkshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Grants Management","80","70","26330","21050"
"In post","2021","Female","Berkshire","Human Resources","30","30","[c]","[c]"
"In post","2021","Female","Berkshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Legal","120","110","43140","40800"
"In post","2021","Female","Berkshire","No function","390","360","31930","29240"
"In post","2021","Female","Berkshire","Project Delivery","30","30","[c]","[c]"
