"Status","Year","Sex","Sexual_orientation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Heterosexual / straight","Asian","13020","11900","32610","29080"
"In post","2021","Female","Heterosexual / straight","Black","8320","7940","32490","30400"
"In post","2021","Female","Heterosexual / straight","Chinese","570","530","36550","31910"
"In post","2021","Female","Heterosexual / straight","Mixed","3790","3560","34180","30210"
"In post","2021","Female","Heterosexual / straight","Other ethnicity","1050","980","35100","31060"
"In post","2021","Female","Heterosexual / straight","Undeclared","1330","1210","31580","27570"
"In post","2021","Female","Heterosexual / straight","Unknown","1780","1570","32470","27580"
"In post","2021","Female","Heterosexual / straight","White","146150","132200","32810","27570"
"In post","2021","Female","LGBO","Asian","270","240","31330","27570"
"In post","2021","Female","LGBO","Black","190","180","32500","29290"
"In post","2021","Female","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Mixed","340","330","34740","30990"
"In post","2021","Female","LGBO","Other ethnicity","70","70","33720","31060"
"In post","2021","Female","LGBO","Undeclared","100","90","31240","28210"
"In post","2021","Female","LGBO","Unknown","100","90","34230","30940"
"In post","2021","Female","LGBO","White","7960","7680","32650","28400"
"In post","2021","Female","Undeclared","Asian","1060","920","30260","27570"
"In post","2021","Female","Undeclared","Black","550","500","31720","29370"
"In post","2021","Female","Undeclared","Chinese","60","60","36960","34050"
"In post","2021","Female","Undeclared","Mixed","330","300","33120","29290"
"In post","2021","Female","Undeclared","Other ethnicity","140","130","39360","32420"
"In post","2021","Female","Undeclared","Undeclared","5030","4560","33290","29200"
"In post","2021","Female","Undeclared","Unknown","1800","1600","29140","26550"
"In post","2021","Female","Undeclared","White","13800","12170","31700","27570"
"In post","2021","Female","Unknown","Asian","1970","1650","30840","27570"
"In post","2021","Female","Unknown","Black","1000","900","31730","30200"
"In post","2021","Female","Unknown","Chinese","90","80","40670","35440"
"In post","2021","Female","Unknown","Mixed","350","310","34820","30330"
"In post","2021","Female","Unknown","Other ethnicity","160","130","36500","31810"
"In post","2021","Female","Unknown","Undeclared","2100","1760","30740","27570"
"In post","2021","Female","Unknown","Unknown","29450","27350","31810","27570"
"In post","2021","Female","Unknown","White","19770","16570","30530","27570"
"In post","2021","Male","Heterosexual / straight","Asian","10700","10430","33260","29290"
"In post","2021","Male","Heterosexual / straight","Black","4620","4550","33430","31060"
"In post","2021","Male","Heterosexual / straight","Chinese","370","370","36360","31810"
"In post","2021","Male","Heterosexual / straight","Mixed","2590","2540","36720","31880"
"In post","2021","Male","Heterosexual / straight","Other ethnicity","780","760","37420","32520"
"In post","2021","Male","Heterosexual / straight","Undeclared","1550","1500","34140","30890"
"In post","2021","Male","Heterosexual / straight","Unknown","1480","1430","34600","30400"
"In post","2021","Male","Heterosexual / straight","White","118860","115280","35850","31650"
"In post","2021","Male","LGBO","Asian","310","300","34820","30780"
"In post","2021","Male","LGBO","Black","150","140","35820","31060"
"In post","2021","Male","LGBO","Chinese","50","50","37890","32700"
"In post","2021","Male","LGBO","Mixed","350","340","36510","31990"
"In post","2021","Male","LGBO","Other ethnicity","100","100","38800","33480"
"In post","2021","Male","LGBO","Undeclared","200","190","34890","30930"
"In post","2021","Male","LGBO","Unknown","130","130","38490","31060"
"In post","2021","Male","LGBO","White","8490","8320","35970","31050"
"In post","2021","Male","Undeclared","Asian","600","580","31910","28790"
"In post","2021","Male","Undeclared","Black","240","230","33090","30780"
"In post","2021","Male","Undeclared","Chinese","40","40","[c]","[c]"
"In post","2021","Male","Undeclared","Mixed","250","240","36360","31060"
"In post","2021","Male","Undeclared","Other ethnicity","170","170","44450","39070"
"In post","2021","Male","Undeclared","Undeclared","8200","7920","36780","33170"
"In post","2021","Male","Undeclared","Unknown","1260","1200","32680","29350"
"In post","2021","Male","Undeclared","White","10160","9690","35270","31650"
"In post","2021","Male","Unknown","Asian","1220","1170","32860","27570"
"In post","2021","Male","Unknown","Black","540","520","33330","31090"
"In post","2021","Male","Unknown","Chinese","50","50","36100","31810"
"In post","2021","Male","Unknown","Mixed","260","250","36410","31810"
"In post","2021","Male","Unknown","Other ethnicity","130","130","36370","31650"
"In post","2021","Male","Unknown","Undeclared","2050","1930","34700","31810"
"In post","2021","Male","Unknown","Unknown","31060","30330","33730","29250"
"In post","2021","Male","Unknown","White","15190","14310","34880","31650"
"In post","2021","Unknown","Heterosexual / straight","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","White","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","White","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","White","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Heterosexual / straight","Asian","15330","14100","33400","29490"
