"Status","Year","Sex","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Heterosexual / straight","Bedfordshire and Hertfordshire","1830","1680","31390","29290"
"In post","2021","Female","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","3360","3110","31520","28350"
"In post","2021","Female","Heterosexual / straight","Cheshire","1540","1420","30450","27570"
"In post","2021","Female","Heterosexual / straight","Cornwall and Isles of Scilly","630","550","26450","26670"
"In post","2021","Female","Heterosexual / straight","Cumbria","750","650","27090","25150"
"In post","2021","Female","Heterosexual / straight","Derbyshire and Nottinghamshire","4540","4090","30700","27570"
"In post","2021","Female","Heterosexual / straight","Devon","2480","2160","28270","27000"
"In post","2021","Female","Heterosexual / straight","Dorset and Somerset","1740","1560","28260","27130"
"In post","2021","Female","Heterosexual / straight","East Anglia","4520","4080","28940","27140"
"In post","2021","Female","Heterosexual / straight","East Wales","7470","6810","32560","28130"
"In post","2021","Female","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","1600","1390","26890","26670"
"In post","2021","Female","Heterosexual / straight","Eastern Scotland","6210","5720","35110","29190"
"In post","2021","Female","Heterosexual / straight","Essex","2170","1950","29670","29290"
"In post","2021","Female","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","10100","9310","34060","30990"
"In post","2021","Female","Heterosexual / straight","Greater Manchester","7080","6500","31020","27570"
"In post","2021","Female","Heterosexual / straight","Hampshire and Isle of Wight","5460","4890","30460","27570"
"In post","2021","Female","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","1510","1370","27410","26120"
"In post","2021","Female","Heterosexual / straight","Highlands and Islands","640","580","27640","27570"
"In post","2021","Female","Heterosexual / straight","Inner London - East","6270","5890","40530","34550"
"In post","2021","Female","Heterosexual / straight","Inner London - West","21400","20490","46350","41800"
"In post","2021","Female","Heterosexual / straight","Kent","3000","2730","28710","27370"
"In post","2021","Female","Heterosexual / straight","Lancashire","5510","4880","28170","27570"
"In post","2021","Female","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","2450","2160","27010","25220"
"In post","2021","Female","Heterosexual / straight","Lincolnshire","1080","990","26400","25030"
"In post","2021","Female","Heterosexual / straight","Merseyside","8170","7240","28230","25560"
"In post","2021","Female","Heterosexual / straight","North Eastern Scotland","550","500","34160","29190"
"In post","2021","Female","Heterosexual / straight","North Yorkshire","1780","1650","33780","29290"
"In post","2021","Female","Heterosexual / straight","Northern Ireland","1220","1110","29200","25560"
"In post","2021","Female","Heterosexual / straight","Northumberland and Tyne and Wear","8080","6960","28130","25560"
"In post","2021","Female","Heterosexual / straight","Outer London - East and North East","1440","1320","30230","31060"
"In post","2021","Female","Heterosexual / straight","Outer London - South","4410","4070","36420","31170"
"In post","2021","Female","Heterosexual / straight","Outer London - West and North West","3370","3090","32250","31060"
"In post","2021","Female","Heterosexual / straight","Overseas","950","940","49570","50940"
"In post","2021","Female","Heterosexual / straight","Shropshire and Staffordshire","3230","2930","29210","27380"
"In post","2021","Female","Heterosexual / straight","South Yorkshire","4200","3680","30360","27570"
"In post","2021","Female","Heterosexual / straight","Southern Scotland","2020","1770","29910","27570"
"In post","2021","Female","Heterosexual / straight","Surrey, East and West Sussex","3170","2830","29800","27570"
"In post","2021","Female","Heterosexual / straight","Tees Valley and Durham","3780","3320","27550","25830"
"In post","2021","Female","Heterosexual / straight","Unknown","560","520","32640","27570"
"In post","2021","Female","Heterosexual / straight","West Central Scotland","6100","5460","30160","27150"
"In post","2021","Female","Heterosexual / straight","West Midlands","7050","6330","30310","27570"
"In post","2021","Female","Heterosexual / straight","West Wales and The Valleys","6540","5780","28150","26470"
"In post","2021","Female","Heterosexual / straight","West Yorkshire","6060","5430","31160","27570"
"In post","2021","Female","LGBO","Bedfordshire and Hertfordshire","90","90","30600","29290"
"In post","2021","Female","LGBO","Berkshire, Buckinghamshire and Oxfordshire","200","190","29260","27850"
"In post","2021","Female","LGBO","Cheshire","120","110","30580","27570"
"In post","2021","Female","LGBO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Cumbria","30","30","[c]","[c]"
"In post","2021","Female","LGBO","Derbyshire and Nottinghamshire","270","260","30270","27570"
"In post","2021","Female","LGBO","Devon","140","130","26920","25930"
"In post","2021","Female","LGBO","Dorset and Somerset","90","90","28400","27470"
"In post","2021","Female","LGBO","East Anglia","200","190","27890","25880"
"In post","2021","Female","LGBO","East Wales","390","380","30340","27570"
"In post","2021","Female","LGBO","East Yorkshire and Northern Lincolnshire","90","80","26670","25790"
"In post","2021","Female","LGBO","Eastern Scotland","350","340","32990","30080"
"In post","2021","Female","LGBO","Essex","120","110","29710","29290"
"In post","2021","Female","LGBO","Gloucestershire, Wiltshire and Bath/Bristol area","490","470","31670","28300"
"In post","2021","Female","LGBO","Greater Manchester","410","400","30560","27570"
"In post","2021","Female","LGBO","Hampshire and Isle of Wight","250","240","29050","27570"
"In post","2021","Female","LGBO","Herefordshire, Worcestershire and Warwickshire","90","90","28730","24440"
"In post","2021","Female","LGBO","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Inner London - East","340","330","38760","34550"
"In post","2021","Female","LGBO","Inner London - West","1440","1410","44980","40050"
"In post","2021","Female","LGBO","Kent","180","180","29800","29290"
"In post","2021","Female","LGBO","Lancashire","250","240","27400","26500"
"In post","2021","Female","LGBO","Leicestershire, Rutland and Northamptonshire","130","120","27720","26700"
"In post","2021","Female","LGBO","Lincolnshire","50","40","[c]","[c]"
"In post","2021","Female","LGBO","Merseyside","280","260","27190","25040"
"In post","2021","Female","LGBO","North Eastern Scotland","30","30","[c]","[c]"
"In post","2021","Female","LGBO","North Yorkshire","100","100","33270","29030"
"In post","2021","Female","LGBO","Northern Ireland","50","40","[c]","[c]"
"In post","2021","Female","LGBO","Northumberland and Tyne and Wear","330","310","27610","25560"
"In post","2021","Female","LGBO","Outer London - East and North East","80","70","31890","31060"
"In post","2021","Female","LGBO","Outer London - South","130","130","38240","31060"
"In post","2021","Female","LGBO","Outer London - West and North West","150","140","32290","31060"
"In post","2021","Female","LGBO","Overseas","50","50","47100","41460"
"In post","2021","Female","LGBO","Shropshire and Staffordshire","180","170","27100","25790"
"In post","2021","Female","LGBO","South Yorkshire","200","190","31890","27570"
"In post","2021","Female","LGBO","Southern Scotland","70","60","30940","27570"
"In post","2021","Female","LGBO","Surrey, East and West Sussex","250","240","29640","27570"
"In post","2021","Female","LGBO","Tees Valley and Durham","170","160","28140","26810"
"In post","2021","Female","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","West Central Scotland","290","280","30820","27570"
"In post","2021","Female","LGBO","West Midlands","270","250","30650","27570"
"In post","2021","Female","LGBO","West Wales and The Valleys","240","220","27280","24240"
"In post","2021","Female","LGBO","West Yorkshire","390","380","30030","27570"
"In post","2021","Female","Undeclared","Bedfordshire and Hertfordshire","220","200","32070","29290"
"In post","2021","Female","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","440","400","31840","28670"
"In post","2021","Female","Undeclared","Cheshire","170","160","29920","28840"
"In post","2021","Female","Undeclared","Cornwall and Isles of Scilly","90","70","26350","26400"
"In post","2021","Female","Undeclared","Cumbria","80","70","27870","25190"
"In post","2021","Female","Undeclared","Derbyshire and Nottinghamshire","630","550","30330","27570"
"In post","2021","Female","Undeclared","Devon","320","280","28810","26930"
"In post","2021","Female","Undeclared","Dorset and Somerset","250","220","29110","27570"
"In post","2021","Female","Undeclared","East Anglia","570","520","29300","27130"
"In post","2021","Female","Undeclared","East Wales","790","710","32660","27570"
"In post","2021","Female","Undeclared","East Yorkshire and Northern Lincolnshire","240","210","26900","27130"
"In post","2021","Female","Undeclared","Eastern Scotland","1170","1060","30560","27570"
"In post","2021","Female","Undeclared","Essex","310","270","28500","27370"
"In post","2021","Female","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","1350","1230","35080","33280"
"In post","2021","Female","Undeclared","Greater Manchester","870","780","29330","27300"
"In post","2021","Female","Undeclared","Hampshire and Isle of Wight","690","620","30600","27570"
"In post","2021","Female","Undeclared","Herefordshire, Worcestershire and Warwickshire","190","170","26860","24440"
"In post","2021","Female","Undeclared","Highlands and Islands","120","100","28050","27570"
"In post","2021","Female","Undeclared","Inner London - East","900","840","40570","34010"
"In post","2021","Female","Undeclared","Inner London - West","2370","2270","45370","40960"
"In post","2021","Female","Undeclared","Kent","430","380","29120","27370"
"In post","2021","Female","Undeclared","Lancashire","620","530","28020","27570"
"In post","2021","Female","Undeclared","Leicestershire, Rutland and Northamptonshire","330","290","26240","24620"
"In post","2021","Female","Undeclared","Lincolnshire","160","140","27560","26240"
"In post","2021","Female","Undeclared","Merseyside","780","670","28040","25560"
"In post","2021","Female","Undeclared","North Eastern Scotland","110","90","29230","22820"
"In post","2021","Female","Undeclared","North Yorkshire","180","160","30820","27570"
"In post","2021","Female","Undeclared","Northern Ireland","90","80","27940","25560"
"In post","2021","Female","Undeclared","Northumberland and Tyne and Wear","760","640","27190","21950"
"In post","2021","Female","Undeclared","Outer London - East and North East","200","170","29080","30330"
"In post","2021","Female","Undeclared","Outer London - South","640","580","35210","31060"
"In post","2021","Female","Undeclared","Outer London - West and North West","550","490","32440","30840"
"In post","2021","Female","Undeclared","Overseas","140","140","45590","40330"
"In post","2021","Female","Undeclared","Shropshire and Staffordshire","340","300","28800","27130"
"In post","2021","Female","Undeclared","South Yorkshire","470","410","30280","27570"
"In post","2021","Female","Undeclared","Southern Scotland","260","220","26540","22820"
"In post","2021","Female","Undeclared","Surrey, East and West Sussex","480","420","30640","27570"
"In post","2021","Female","Undeclared","Tees Valley and Durham","410","350","27590","25310"
"In post","2021","Female","Undeclared","Unknown","70","60","31870","27570"
"In post","2021","Female","Undeclared","West Central Scotland","980","850","27760","25560"
"In post","2021","Female","Undeclared","West Midlands","850","750","29660","27570"
"In post","2021","Female","Undeclared","West Wales and The Valleys","1480","1180","25910","21590"
"In post","2021","Female","Undeclared","West Yorkshire","720","620","29830","27570"
"In post","2021","Female","Unknown","Bedfordshire and Hertfordshire","440","390","31580","29290"
"In post","2021","Female","Unknown","Berkshire, Buckinghamshire and Oxfordshire","800","710","31950","28990"
"In post","2021","Female","Unknown","Cheshire","360","320","27840","27470"
"In post","2021","Female","Unknown","Cornwall and Isles of Scilly","180","150","25400","21010"
