"Status","Year","Sexual_orientation","Disability","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Declared disabled","East Midlands (England)","1990","1820","28500","27570"
"In post","2021","Heterosexual / straight","Declared disabled","East of England","1980","1810","30040","27570"
"In post","2021","Heterosexual / straight","Declared disabled","London","6630","6300","40630","35070"
"In post","2021","Heterosexual / straight","Declared disabled","North East (England)","2620","2310","27160","25560"
"In post","2021","Heterosexual / straight","Declared disabled","North West (England)","5210","4690","28500","27570"
"In post","2021","Heterosexual / straight","Declared disabled","Northern Ireland","250","240","27290","25560"
"In post","2021","Heterosexual / straight","Declared disabled","Overseas","160","160","48570","45490"
"In post","2021","Heterosexual / straight","Declared disabled","Scotland","3140","2840","30410","27570"
"In post","2021","Heterosexual / straight","Declared disabled","South East (England)","3440","3170","30380","27570"
"In post","2021","Heterosexual / straight","Declared disabled","South West (England)","3500","3240","32390","28380"
"In post","2021","Heterosexual / straight","Declared disabled","Unknown","140","140","30980","27570"
"In post","2021","Heterosexual / straight","Declared disabled","Wales","2540","2280","29070","27290"
"In post","2021","Heterosexual / straight","Declared disabled","West Midlands (England)","2700","2470","29090","27570"
"In post","2021","Heterosexual / straight","Declared disabled","Yorkshire and The Humber","3020","2720","30170","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","East Midlands (England)","11000","10230","30250","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","East of England","12220","11390","30740","27850"
"In post","2021","Heterosexual / straight","Declared non-disabled","London","53280","51230","43940","37900"
"In post","2021","Heterosexual / straight","Declared non-disabled","North East (England)","15440","14000","29100","26520"
"In post","2021","Heterosexual / straight","Declared non-disabled","North West (England)","30370","28200","30110","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","Northern Ireland","2030","1910","28670","25560"
"In post","2021","Heterosexual / straight","Declared non-disabled","Overseas","2100","2090","49620","49810"
"In post","2021","Heterosexual / straight","Declared non-disabled","Scotland","20110","18780","32910","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","South East (England)","22400","20950","31670","28630"
"In post","2021","Heterosexual / straight","Declared non-disabled","South West (England)","24650","23290","34530","31380"
"In post","2021","Heterosexual / straight","Declared non-disabled","Unknown","780","740","33340","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","Wales","19220","17890","32190","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","West Midlands (England)","15810","14760","30580","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","Yorkshire and The Humber","19340","17900","31670","27570"
"In post","2021","Heterosexual / straight","Undeclared","East Midlands (England)","640","590","28600","27570"
"In post","2021","Heterosexual / straight","Undeclared","East of England","730","690","31100","29290"
"In post","2021","Heterosexual / straight","Undeclared","London","2280","2200","41190","35770"
"In post","2021","Heterosexual / straight","Undeclared","North East (England)","750","680","28720","27570"
"In post","2021","Heterosexual / straight","Undeclared","North West (England)","1430","1320","28900","27570"
"In post","2021","Heterosexual / straight","Undeclared","Northern Ireland","120","110","28850","26750"
"In post","2021","Heterosexual / straight","Undeclared","Overseas","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Scotland","660","620","30090","27570"
"In post","2021","Heterosexual / straight","Undeclared","South East (England)","1360","1260","30840","29200"
"In post","2021","Heterosexual / straight","Undeclared","South West (England)","1130","1060","33770","31180"
"In post","2021","Heterosexual / straight","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Wales","790","730","28920","26780"
"In post","2021","Heterosexual / straight","Undeclared","West Midlands (England)","910","850","29480","27570"
"In post","2021","Heterosexual / straight","Undeclared","Yorkshire and The Humber","1030","960","30870","29120"
"In post","2021","Heterosexual / straight","Unknown","East Midlands (England)","510","480","30840","26930"
"In post","2021","Heterosexual / straight","Unknown","East of England","700","670","34090","32000"
"In post","2021","Heterosexual / straight","Unknown","London","4110","4000","43970","40000"
"In post","2021","Heterosexual / straight","Unknown","North East (England)","820","740","28400","25560"
"In post","2021","Heterosexual / straight","Unknown","North West (England)","1960","1880","32680","30640"
"In post","2021","Heterosexual / straight","Unknown","Northern Ireland","230","220","29250","25560"
"In post","2021","Heterosexual / straight","Unknown","Overseas","180","180","55300","54540"
"In post","2021","Heterosexual / straight","Unknown","Scotland","3860","3630","36660","33650"
"In post","2021","Heterosexual / straight","Unknown","South East (England)","1740","1610","32000","29540"
"In post","2021","Heterosexual / straight","Unknown","South West (England)","1730","1650","35500","33300"
"In post","2021","Heterosexual / straight","Unknown","Unknown","50","50","42680","42080"
"In post","2021","Heterosexual / straight","Unknown","Wales","1200","1130","31320","28560"
"In post","2021","Heterosexual / straight","Unknown","West Midlands (England)","940","900","33440","30020"
"In post","2021","Heterosexual / straight","Unknown","Yorkshire and The Humber","960","910","34140","30820"
"In post","2021","LGBO","Declared disabled","East Midlands (England)","190","180","29060","27570"
"In post","2021","LGBO","Declared disabled","East of England","170","160","28370","27570"
"In post","2021","LGBO","Declared disabled","London","970","950","42440","36650"
"In post","2021","LGBO","Declared disabled","North East (England)","190","180","27130","25560"
"In post","2021","LGBO","Declared disabled","North West (England)","480","450","28410","27570"
"In post","2021","LGBO","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Scotland","400","380","31220","27570"
"In post","2021","LGBO","Declared disabled","South East (England)","360","340","29430","27570"
"In post","2021","LGBO","Declared disabled","South West (England)","350","340","30320","27570"
"In post","2021","LGBO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Wales","260","250","30300","27570"
"In post","2021","LGBO","Declared disabled","West Midlands (England)","270","250","27900","27570"
"In post","2021","LGBO","Declared disabled","Yorkshire and The Humber","320","300","30530","27570"
"In post","2021","LGBO","Declared non-disabled","East Midlands (England)","510","490","29790","27380"
"In post","2021","LGBO","Declared non-disabled","East of England","500","480","29730","27570"
"In post","2021","LGBO","Declared non-disabled","London","3540","3480","45780","40600"
"In post","2021","LGBO","Declared non-disabled","North East (England)","700","670","28720","26300"
"In post","2021","LGBO","Declared non-disabled","North West (England)","1540","1500","29690","27370"
"In post","2021","LGBO","Declared non-disabled","Northern Ireland","70","60","26490","25310"
"In post","2021","LGBO","Declared non-disabled","Overseas","130","130","52300","52630"
