"Status","Year","Sexual_orientation","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Bristol, City of","110","100","40500","39070"
"In post","2021","Heterosexual / straight","Analysis","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Camden and City of London","140","140","70310","65470"
"In post","2021","Heterosexual / straight","Analysis","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Central Hampshire","260","250","40720","37940"
"In post","2021","Heterosexual / straight","Analysis","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Dorset CC","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Leeds","90","90","42950","48940"
"In post","2021","Heterosexual / straight","Analysis","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Liverpool","60","50","41170","38630"
"In post","2021","Heterosexual / straight","Analysis","Manchester","140","130","39120","38630"
"In post","2021","Heterosexual / straight","Analysis","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Monmouthshire and Newport","620","590","37410","36030"
"In post","2021","Heterosexual / straight","Analysis","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Portsmouth","[c]","[c]","[c]","[c]"
