"Status","Year","Sexual_orientation","Organisation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","White","80","70","32830","29190"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Asian","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Black","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","White","530","490","34930","34390"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Asian","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","White","1730","1640","30440","27560"
"In post","2021","Heterosexual / straight","Attorney General's Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","White","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Asian","420","410","45750","40600"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Black","230","230","42050","35590"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Mixed","150","150","46320","40250"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Other ethnicity","50","50","46880","39020"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Unknown","50","50","58940","54700"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","White","3440","3340","48600","41820"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","White","210","200","33950","29270"
"In post","2021","Heterosexual / straight","Charity Commission","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","White","210","200","33920","29160"
"In post","2021","Heterosexual / straight","Companies House","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","White","650","600","32100","27460"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Asian","100","90","45380","36990"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Black","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Mixed","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","White","490","470","64260","59940"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","White","170","150","27220","22710"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","White","480","460","38680","34800"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Asian","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
